ACTE	acte	NC	_
I	I	ADJ	_
,	,	PONCT	_
SCèNE	SCèNE	NC	_
I	I	ADJ	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
mère	mère	NC	_
Ubu	Ubu	NP	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
merdre	merdre	I	_
!	!	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
oh	oh	I	_
!	!	PONCT	_
Voilà	voilà	V	_
du	de_le	P+D	_
joli	joli	NC	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
vous	vous	CLS	_
estes	ester	V	_
un	un	DET	_
fort	fort	NC	_
grand	grand	ADJ	_
voyou	voyou	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
que	que	CS	_
ne	ne	ADV	_
vous	vous	CLO	_
assom	assom	V	_
-je	je	CLS	_
,	,	PONCT	_
mère	mère	NC	_
Ubu	Ubu	NP	_
!	!	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ce	ce	CLS	_
n'	ne	ADV	_
est	être	V	_
pas	pas	ADV	_
moi	je	PRO	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
un	un	DET	_
autre	autre	NC	_
qu'	que	PROREL	_
il	il	CLS	_
faudrait	falloir	V	_
assassiner	assassiner	VINF	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
je	je	CLS	_
ne	ne	ADV	_
comprends	comprendre	V	_
pas	pas	ADV	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
comment	comment	PROWH	_
,	,	PONCT	_
père	père	NC	_
Ubu	Ubu	NP	_
,	,	PONCT	_
vous	vous	CLS	_
estes	ester	V	_
content	content	ADJ	_
de	de	P	_
votre	votre	DET	_
sort	sort	NC	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
merdre	merdre	ADJ	_
,	,	PONCT	_
madame	madame	NC	_
,	,	PONCT	_
certes	certes	ADV	_
oui	oui	I	_
,	,	PONCT	_
je	je	CLS	_
suis	être	V	_
content	content	ADJ	_
.	.	PONCT	_
On	on	CLS	_
le	il	CLO	_
serait	être	V	_
à	à	P	_
moins	moins	ADV	_
:	:	PONCT	_
capitaine	capitaine	NC	_
de	de	P	_
dragons	dragon	NC	_
,	,	PONCT	_
officier	officier	NC	_
de	de	P	_
confiance	confiance	NC	_
du	de_le	P+D	_
roi	roi	NC	_
Venceslas	Venceslas	NP	_
,	,	PONCT	_
décoré	décorer	VPP	_
de	de	P	_
l'	le	DET	_
ordre	ordre	NC	_
de	de	P	_
l'	le	DET	_
aigle	aigle	NC	_
rouge	rouge	ADJ	_
de	de	P	_
Pologne	Pologne	NP	_
et	et	CC	_
ancien	ancien	ADJ	_
roi	roi	NC	_
d'	de	P	_
Aragon	Aragon	NP	_
,	,	PONCT	_
que	que	PROWH	_
voulez	vouloir	V	_
-vous	vous	CLS	_
de	de	P	_
mieux	mieux	ADV	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
comment	comment	PROWH	_
!	!	PONCT	_
Après	après	P	_
avoir	avoir	VINF	_
été	être	VPP	_
roi	roi	NC	_
d'	de	P	_
Aragon	Aragon	NP	_
vous	vous	CLS	_
vous	vous	CLO	_
contentez	contenter	V	_
de	de	P	_
mener	mener	VINF	_
aux	à_le	P+D	_
revues	revue	NC	_
une	un	DET	_
cinquantaine	cinquantaine	NC	_
d'	de	P	_
estafiers	estafier	NC	_
armés	armer	VPP	_
de	de	P	_
coupe-choux	coupe-choux	NC	_
,	,	PONCT	_
quand	quand	CS	_
vous	vous	CLS	_
pourriez	pouvoir	V	_
faire	faire	VINF	_
succéder	succéder	VINF	_
sur	sur	P	_
votre	votre	DET	_
fiole	fiole	NC	_
la	le	DET	_
couronne	couronne	NC	_
de	de	P	_
Pologne	Pologne	NP	_
à	à	P	_
celle	celui	PRO	_
d'	de	P	_
Aragon	Aragon	NP	_
?	?	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
ah	ah	I	_
!	!	PONCT	_
Mère	Mère	NP	_
Ubu	Ubu	NP	_
,	,	PONCT	_
je	je	CLS	_
ne	ne	ADV	_
comprends	comprendre	V	_
rien	rien	PRO	_
de	de	P	_
ce	ce	PRO	_
que	que	PROREL	_
tu	tu	CLS	_
dis	dire	V	_
.	.	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
tu	tu	CLS	_
es	être	V	_
si	si	ADV	_
bête	bête	ADJ	_
!	!	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
de	de	P	_
par	par	P	_
ma	mon	DET	_
chandelle	chandelle	NC	_
verte	vert	ADJ	_
,	,	PONCT	_
le	le	DET	_
roi	roi	NC	_
Venceslas	Venceslas	NP	_
est	être	V	_
encore	encore	ADV	_
bien	bien	ADV	_
vivant	vivant	ADJ	_
;	;	PONCT	_
et	et	CC	_
même	même	ADV	_
en	en	P	_
admettant	admettre	VPR	_
qu'	que	CS	_
il	il	CLS	_
meure	mourir	V	_
,	,	PONCT	_
n'	ne	ADV	_
a	avoir	V	_
-t-il	il	CLS	_
pas	pas	ADV	_
des	un	DET	_
légions	légion	NC	_
d'	de	P	_
enfants	enfant	NC	_
?	?	PONCT	_
Mère	mère	NC	_
Ubu	Ubu	NP	_
.	.	PONCT	_
-	-	PONCT	_
qui	qui	PROWH	_
t'	tu	CLO	_
empêche	empêcher	V	_
de	de	P	_
massacrer	massacrer	VINF	_
toute	tout	ADJ	_
la	le	DET	_
famille	famille	NC	_
et	et	CC	_
de	de	P	_
te	tu	CLO	_
mettre	mettre	VINF	_
à	à	P	_
leur	leur	DET	_
place	place	NC	_
.	.	PONCT	_
Père	père	NC	_
Ubu	Ubu	NP	_
