notice	notice	NC	_
:	:	PONCT	_
à	à	P	_
en	en	CLO	_
juger	juger	VINF	_
par	par	P	_
les	le	DET	_
quelques	quelque	DET	_
portraits	portrait	NC	_
conservés	conserver	VPP	_
au	à_le	P+D	_
château	château	NC	_
de	de	P	_
Lourps	Lourps	NP	_
,	,	PONCT	_
la	le	DET	_
famille	famille	NC	_
des	de_le	P+D	_
Floressas	Floressas	NP	_
des	de_le	P+D	_
Esseintes	Esseintes	NP	_
avait	avoir	V	_
été	être	VPP	_
,	,	PONCT	_
au	à_le	P+D	_
temps	temps	NC	_
jadis	jadis	ADV	_
,	,	PONCT	_
composée	composer	VPP	_
d'	de	P	_
athlétiques	athlétique	ADJ	_
soudards	soudard	NC	_
,	,	PONCT	_
de	de	P	_
rébarbatifs	rébarbatif	ADJ	_
reîtres	reître	NC	_
.	.	PONCT	_
Serrés	serrer	VPP	_
,	,	PONCT	_
à	à	P	_
l'	le	DET	_
étroit	étroit	NC	_
dans	dans	P	_
leurs	leur	DET	_
vieux	vieux	ADJ	_
cadres	cadre	NC	_
qu'	que	PROREL	_
ils	il	CLS	_
barraient	barrer	V	_
de	de	P	_
leurs	leur	DET	_
fortes	fort	ADJ	_
épaules	épaule	NC	_
,	,	PONCT	_
ils	il	CLS	_
alarmaient	alarmer	V	_
avec	avec	P	_
leurs	leur	DET	_
yeux	œil	NC	_
fixes	fixe	ADJ	_
,	,	PONCT	_
leurs	leur	DET	_
moustaches	moustache	NC	_
en	en	P	_
yatagans	yatagan	NC	_
,	,	PONCT	_
leur	leur	DET	_
poitrine	poitrine	NC	_
dont	dont	PROREL	_
l'	le	DET	_
arc	arc	NC	_
bombé	bomber	VPP	_
remplissait	remplir	V	_
l'	le	DET	_
énorme	énorme	ADJ	_
coquille	coquille	NC	_
des	de_le	P+D	_
cuirasses	cuirasse	NC	_
.	.	PONCT	_
Ceux	celui	PRO	_
-là	là	ADV	_
étaient	être	V	_
les	le	DET	_
ancêtres	ancêtre	NC	_
;	;	PONCT	_
les	le	DET	_
portraits	portrait	NC	_
de	de	P	_
leurs	leur	DET	_
descendants	descendant	NC	_
manquaient	manquer	V	_
;	;	PONCT	_
un	un	DET	_
trou	trou	NC	_
