INTRODUCTION	introduction	NC	_
QUESTION	question	NC	_
DE	de	P	_
MÉTHODE	méthode	NC	_
Paris	Paris	NP	_
,	,	PONCT	_
17	17	ADJ	_
novembre	novembre	NC	_
1901	1901	ADJ	_
mon	mon	DET	_
cher	cher	ADJ	_
Péguy	Péguy	NP	_
,	,	PONCT	_
vous	vous	CLS	_
m'	je	CLO	_
avez	avoir	V	_
demandé	demander	VPP	_
de	de	P	_
réunir	réunir	VINF	_
pour	pour	P	_
les	le	DET	_
cahiers	cahier	NC	_
de	de	P	_
la	le	DET	_
quinzaine	quinzaine	NC	_
les	le	DET	_
études	étude	NC	_
socialistes	socialiste	ADJ	_
que	que	PROREL	_
j'	je	CLS	_
ai	avoir	V	_
publiées	publier	VPP	_
ces	ce	DET	_
derniers	dernier	ADJ	_
mois	mois	NC	_
dans	dans	P	_
la	le	DET	_
petite	petit	ADJ	_
république	république	NC	_
;	;	PONCT	_
vous	vous	CLS	_
vous	vous	CLO	_
proposez	proposer	V	_
d'	de	P	_
adresser	adresser	VINF	_
un	un	DET	_
exemplaire	exemplaire	NC	_
de	de	P	_
ce	ce	DET	_
volume	volume	NC	_
à	à	P	_
chacun	chacun	PRO	_
de	de	P	_
vos	votre	DET	_
abonnés	abonné	NC	_
.	.	PONCT	_
Je	je	CLS	_
me	je	CLO	_
réjouis	réjouir	V	_
d'	de	P	_
entrer	entrer	VINF	_
ainsi	ainsi	ADV	_
en	en	P	_
communication	communication	NC	_
directe	direct	ADJ	_
avec	avec	P	_
des	un	DET	_
esprits	esprit	NC	_
libres	libre	ADJ	_
,	,	PONCT	_
habitués	habituer	VPP	_
à	à	P	_
la	le	DET	_
critique	critique	NC	_
indépendante	indépendant	ADJ	_
et	et	CC	_
probe	probe	ADJ	_
.	.	PONCT	_
Bien	bien	ADV	_
que	que	CS	_
ces	ce	DET	_
articles	article	NC	_
n'	ne	ADV	_
eussent	avoir	V	_
point	point	ADV	_
été	être	VPP	_
destinés	destiner	VPP	_
,	,	PONCT	_
d'	de	P	_
abord	abord	NC	_
,	,	PONCT	_
à	à	P	_
paraître	paraître	VINF	_
en	en	P	_
volume	volume	NC	_
,	,	PONCT	_
je	je	CLS	_
n'	ne	ADV	_
ai	avoir	V	_
point	point	ADV	_
scrupule	scrupule	NC	_
à	à	P	_
les	il	CLO	_
reproduire	reproduire	VINF	_
sous	sous	P	_
cette	ce	DET	_
forme	forme	NC	_
:	:	PONCT	_
car	car	CC	_
je	je	CLS	_
n'	ne	ADV	_
ai	avoir	V	_
jamais	jamais	ADV	_
considéré	considérer	VPP	_
l'	le	DET	_
article	article	NC	_
de	de	P	_
journal	journal	NC	_
comme	comme	P	_
une	un	DET	_
oeuvre	œuvre	NC	_
hâtive	hâtif	ADJ	_
et	et	CC	_
superficielle	superficiel	ADJ	_
;	;	PONCT	_
et	et	CC	_
j'	je	CLS	_
y	y	CLO	_
mets	mettre	V	_
,	,	PONCT	_
par	par	P	_
respect	respect	NC	_
pour	pour	P	_
le	le	DET	_
prolétariat	prolétariat	NC	_
qui	qui	PROREL	_
lit	lire	V	_
les	le	DET	_
journaux	journal	NC	_
socialistes	socialiste	ADJ	_
,	,	PONCT	_
toute	tout	ADJ	_
ma	mon	DET	_
conscience	conscience	NC	_
d'	de	P	_
écrivain	écrivain	NC	_
.	.	PONCT	_
Je	je	CLS	_
n'	ne	ADV	_
ai	avoir	V	_
pas	pas	ADV	_
besoin	besoin	NC	_
d'	de	P	_
avertir	avertir	VINF	_
qu'	que	CS	_
ils	il	CLS	_
ne	ne	ADV	_
prétendent	prétendre	V	_
pas	pas	ADV	_
épuiser	épuiser	VINF	_
les	le	DET	_
sujets	sujet	NC	_
qu'	que	PROREL	_
ils	il	CLS	_
traitent	traiter	V	_
.	.	PONCT	_
Ils	il	CLS	_
ne	ne	ADV	_
sont	être	V	_
,	,	PONCT	_
évidemment	évidemment	ADV	_
,	,	PONCT	_
qu'	qu'	ADV	_
un	un	DET	_
fragment	fragment	NC	_
,	,	PONCT	_
ou	ou	CC	_
plutôt	plutôt	ADV	_
une	un	DET	_
préparation	préparation	NC	_
d'	de	P	_
une	un	DET	_
oeuvre	œuvre	NC	_
plus	plus	ADV	_
vaste	vaste	ADJ	_
,	,	PONCT	_
plus	plus	ADV	_
dogmatique	dogmatique	ADJ	_
et	et	CC	_
plus	plus	ADV	_
documentée	documenté	ADJ	_
,	,	PONCT	_
où	où	PROREL	_
je	je	CLS	_
voudrais	vouloir	V	_
définir	définir	VINF	_
exactement	exactement	ADV	_
ce	ce	PRO	_
qu'	que	PROREL	_
est	être	V	_
,	,	PONCT	_
au	à_le	P+D	_
début	début	NC	_
du	de_le	P+D	_
vingtième	vingtième	ADJ	_
siècle	siècle	NC	_
,	,	PONCT	_
le	le	DET	_
socialisme	socialisme	NC	_
,	,	PONCT	_
sa	son	DET	_
conception	conception	NC	_
,	,	PONCT	_
sa	son	DET	_
méthode	méthode	NC	_
et	et	CC	_
son	son	DET	_
programme	programme	NC	_
.	.	PONCT	_
Mais	mais	CC	_
,	,	PONCT	_
