I	I	X	_
qui	qui	PROREL	_
commence	commencer	V	_
par	par	P	_
où	où	PROREL	_
les	le	DET	_
romans	roman	NC	_
finissent	finir	V	_
le	le	DET	_
mariage	mariage	NC	_
de	de	P	_
M	M	NC	_
Robert	Robert	NP	_
Darzac	Darzac	NP	_
et	et	CC	_
de	de	P	_
Mlle	Mlle	NC	_
Mathilde	Mathilde	NP	_
Stangerson	Stangerson	NP	_
eut	avoir	V	_
lieu	lieu	NC	_
à	à	P	_
Paris	Paris	NP	_
,	,	PONCT	_
à	à	P	_
Saint-Nicolas	Saint-Nicolas	NP	_
du	de_le	P+D	_
Chardonnet	Chardonnet	NP	_
,	,	PONCT	_
le	le	DET	_
6	6	ADJ	_
avril	avril	NC	_
1895	1895	ADJ	_
,	,	PONCT	_
dans	dans	P	_
la	le	DET	_
plus	plus	ADV	_
stricte	strict	ADJ	_
intimité	intimité	NC	_
.	.	PONCT	_
Un	un	DET	_
peu	peu	NC	_
plus	plus	ADV	_
de	de	P	_
deux	deux	DET	_
années	année	NC	_
s'	se	CLO	_
étaient	être	V	_
donc	donc	ADV	_
écoulées	écouler	VPP	_
depuis	depuis	P	_
les	le	DET	_
événements	événement	NC	_
que	que	PROREL	_
j'	je	CLS	_
ai	avoir	V	_
rapportés	rapporter	VPP	_
dans	dans	P	_
un	un	DET	_
précédent	précédent	ADJ	_
ouvrage	ouvrage	NC	_
,	,	PONCT	_
événements	événement	NC	_
si	si	ADV	_
sensationnels	sensationnel	ADJ	_
qu'	que	CS	_
il	il	CLS	_
n'	ne	ADV	_
est	être	V	_
point	point	ADV	_
téméraire	téméraire	ADJ	_
d'	de	P	_
affirmer	affirmer	VINF	_
ici	ici	ADV	_
qu'	que	CS	_
un	un	DET	_
aussi	aussi	ADV	_
court	court	ADJ	_
laps	laps	NC	_
de	de	P	_
temps	temps	NC	_
n'	ne	ADV	_
avait	avoir	V	_
pu	pouvoir	VPP	_
faire	faire	VINF	_
oublier	oublier	VINF	_
le	le	DET	_
