DéDICACE	dédicace	NC	_
à	à	P	_
MME	Mme	NC	_
CHARLES	Charles	NP	_
BRAINNE	BRAINNE	NP	_
C'	ce	CLS	_
est	être	V	_
vous	vous	PRO	_
,	,	PONCT	_
madame	madame	NC	_
,	,	PONCT	_
qui	qui	PROREL	_
avez	avoir	V	_
eu	avoir	VPP	_
la	le	DET	_
primeur	primeur	NC	_
de	de	P	_
cette	ce	DET	_
histoire	histoire	NC	_
.	.	PONCT	_
Je	je	CLS	_
vous	vous	CLO	_
l'	il	CLO	_
ai	avoir	V	_
racontée	raconter	VPP	_
,	,	PONCT	_
il	il	CLS	_
y	y	CLO	_
a	avoir	V	_
trois	trois	DET	_
mois	mois	NC	_
,	,	PONCT	_
le	le	DET	_
lendemain	lendemain	NC	_
de	de	P	_
votre	votre	DET	_
mariage	mariage	NC	_
,	,	PONCT	_
quand	quand	CS	_
je	je	CLS	_
ne	ne	ADV	_
la	il	CLO	_
savais	savoir	V	_
pas	pas	ADV	_
trop	trop	ADV	_
bien	bien	ADV	_
moi	je	PRO	_
-même	même	ADJ	_
.	.	PONCT	_
Bon	bon	ADJ	_
gré	gré	NC	_
,	,	PONCT	_
mal	mal	ADV	_
gré	gré	NC	_
,	,	PONCT	_
vous	vous	CLS	_
vous	vous	CLO	_
souviendrez	souvenir	V	_
toute	tout	ADJ	_
la	le	DET	_
vie	vie	NC	_
d'	de	P	_
un	un	DET	_
récit	récit	NC	_
que	que	CS	_
sa	son	DET	_
date	date	NC	_
doit	devoir	V	_
protéger	protéger	VINF	_
contre	contre	P	_
l'	le	DET	_
oubli	oubli	NC	_
.	.	PONCT	_
Dans	dans	P	_
un	un	DET	_
quart	quart	NC	_
de	de	P	_
siècle	siècle	NC	_
,	,	PONCT	_
quand	quand	CS	_
la	le	DET	_
jeune	jeune	ADJ	_
femme	femme	NC	_
que	que	PROREL	_
nous	nous	CLS	_
admirons	admirer	V	_
en	en	P	_
vous	vous	CLO	_
se	se	CLO	_
sera	être	V	_
élevée	élever	VPP	_
par	par	P	_
degrés	degré	NC	_
à	à	P	_
la	le	DET	_
dignité	dignité	NC	_
de	de	P	_
grand'	grand	ADJ	_
mère	mère	NC	_
,	,	PONCT	_
si	si	CS	_
le	le	DET	_
temps	temps	NC	_
qui	qui	PROREL	_
dévore	dévorer	V	_
tout	tout	ADV	_
n'	ne	ADV	_
a	avoir	V	_
pas	pas	ADV	_
emporté	emporter	VPP	_
les	le	DET	_
pages	page	NC	_
de	de	P	_
ce	ce	DET	_
petit	petit	ADJ	_
livre	livre	NC	_
,	,	PONCT	_
vous	vous	CLS	_
le	il	CLO	_
relirez	relire	V	_
au	à_le	P+D	_
coin	coin	NC	_
du	de_le	P+D	_
feu	feu	NC	_
,	,	PONCT	_
et	et	CC	_
les	le	DET	_
aventures	aventure	NC	_
de	de	P	_
mon	mon	DET	_
vieux	vieux	ADJ	_
Pallicare	Pallicare	NC	_
vous	vous	CLO	_
rappelleront	rappeler	V	_
le	le	DET	_
jour	jour	NC	_
heureux	heureux	ADJ	_
où	où	PROREL	_
vous	vous	CLS	_
aviez	avoir	V	_
vingt	vingt	DET	_
ans	an	NC	_
,	,	PONCT	_
un	un	DET	_
avenir	avenir	NC	_
sans	sans	P	_
nuages	nuage	NC	_
,	,	PONCT	_
un	un	DET	_
présent	présent	NC	_
sans	sans	P	_
soucis	souci	NC	_
,	,	PONCT	_
et	et	CC	_
des	de_le	P+D	_
amis	ami	NC	_
désintéressés	désintéressé	ADJ	_
.	.	PONCT	_
Edm	Edm	NP	_
About	About	NP	_
.	.	PONCT	_
enclos	enclore	VPP	_
des	de_le	P+D	_
ternes	terne	NC	_
,	,	PONCT	_
18	18	ADJ	_
octobre	octobre	NC	_
1856	1856	ADJ	_
:	:	PONCT	_
I	I	X	_
M	M	NC	_
Hermann	Hermann	NP	_
Schultz	Schultz	NP	_
:	:	PONCT	_
le	le	DET	_
3	3	ADJ	_
juillet	juillet	NC	_
de	de	P	_
cette	ce	DET	_
année	année	NC	_
,	,	PONCT	_
vers	vers	P	_
six	six	DET	_
heures	heure	NC	_
du	de_le	P+D	_
matin	matin	NC	_
,	,	PONCT	_
j'	je	CLS	_
arrosais	arroser	V	_
mes	mon	DET	_
pétunias	pétunia	NC	_
sans	sans	P	_
songer	songer	VINF	_
à	à	P	_
ma	mon	DET	_
,	,	PONCT	_
quand	quand	CS	_
je	je	CLS	_
vis	vivre	V	_
entrer	entrer	VINF	_
un	un	DET	_
grand	grand	ADJ	_
jeune	jeune	ADJ	_
homme	homme	NC	_
blond	blond	ADJ	_
,	,	PONCT	_
imberbe	imberbe	ADJ	_
,	,	PONCT	_
coiffé	coiffer	VPP	_
d'	de	P	_
une	un	DET	_
casquette	casquette	NC	_
allemande	allemand	ADJ	_
et	et	CC	_
paré	parer	VPP	_
de	de	P	_
lunettes	lunette	NC	_
d'	de	P	_
or	or	NC	_
.	.	PONCT	_
Un	un	DET	_
ample	ample	ADJ	_
paletot	paletot	NC	_
de	de	P	_
lasting	lasting	NC	_
flottait	flotter	V	_
mélancoliquement	mélancoliquement	ADV	_
autour	autour	ADV	_
de	de	P	_
sa	son	DET	_
personne	personne	NC	_
,	,	PONCT	_
comme	comme	P	_
une	un	DET	_
voile	voile	NC	_
le	le	DET	_
long	long	NC	_
d'	de	P	_
un	un	DET	_
mât	mât	NC	_
lorsque	lorsque	CS	_
le	le	DET	_
vent	vent	NC	_
vient	venir	V	_
à	à	P	_
tomber	tomber	VINF	_
.	.	PONCT	_
Il	il	CLS	_
ne	ne	ADV	_
portait	porter	V	_
pas	pas	ADV	_
de	de	P	_
gants	gant	NC	_
;	;	PONCT	_
ses	son	DET	_
souliers	soulier	NC	_
de	de	P	_
cuir	cuir	NC	_
écru	écru	ADJ	_
reposaient	reposer	V	_
sur	sur	P	_
de	un	DET	_
puissantes	puissant	ADJ	_
semelles	semelle	NC	_
,	,	PONCT	_
si	si	ADV	_
larges	large	ADJ	_
que	que	CS	_
le	le	DET	_
pied	pied	NC	_
était	être	V	_
entouré	entourer	VPP	_
d'	de	P	_
un	un	DET	_
petit	petit	ADJ	_
trottoir	trottoir	NC	_
.	.	PONCT	_
Dans	dans	P	_
sa	son	DET	_
poche	poche	NC	_
de	de	P	_
côté	côté	NC	_
,	,	PONCT	_
vers	vers	P	_
la	le	DET	_
région	région	NC	_
du	de_le	P+D	_
coeur	cœur	NC	_
,	,	PONCT	_
une	un	DET	_
grande	grand	ADJ	_
pipe	pipe	NC	_
de	de	P	_
porcelaine	porcelaine	NC	_
se	se	CLO	_
modelait	modeler	V	_
en	en	P	_
relief	relief	NC	_
et	et	CC	_
dessinait	dessiner	V	_
vaguement	vaguement	ADV	_
son	son	DET	_
profil	profil	NC	_
sous	sous	P	_
l'	le	DET	_
étoffe	étoffe	NC	_
luisante	luisant	ADJ	_
.	.	PONCT	_
Je	je	CLS	_
ne	ne	ADV	_
songeai	songer	V	_
pas	pas	ADV	_
même	même	ADV	_
à	à	P	_
demander	demander	VINF	_
à	à	P	_
cet	ce	DET	_
inconnu	inconnu	NC	_
s'	si	CS	_
il	il	CLS	_
avait	avoir	V	_
fait	faire	VPP	_
ses	son	DET	_
études	étude	NC	_
dans	dans	P	_
les	le	DET	_
universités	université	NC	_
d'	de	P	_
Allemagne	Allemagne	NP	_
;	;	PONCT	_
je	je	CLS	_
déposai	déposer	V	_
mon	mon	DET	_
arrosoir	arrosoir	NC	_
,	,	PONCT	_
et	et	CC	_
je	je	CLS	_
le	il	CLO	_
saluai	saluer	V	_
d'	de	P	_
un	un	DET	_
beau	beau	ADJ	_
:	:	PONCT	_
guten	guten	ET	_
morgen	morgen	ET	_
.	.	PONCT	_
"	"	PONCT	_
monsieur	monsieur	NC	_
,	,	PONCT	_
me	je	CLO	_
dit	dire	V	_
-il	il	CLS	_
en	en	P	_
français	français	NC	_
,	,	PONCT	_
mais	mais	CC	_
avec	avec	P	_
un	un	DET	_
accent	accent	NC	_
déplorable	déplorable	ADJ	_
,	,	PONCT	_
je	je	CLS	_
m'	je	CLO	_
appelle	appeler	V	_
Hermann	Hermann	NP	_
Schultz	Schultz	NP	_
;	;	PONCT	_
je	je	CLS	_
viens	venir	V	_
de	de	P	_
passer	passer	VINF	_
quelques	quelque	DET	_
mois	mois	NC	_
en	en	P	_
Grèce	Grèce	NP	_
,	,	PONCT	_
et	et	CC	_
votre	votre	DET	_
livre	livre	NC	_
a	avoir	V	_
voyagé	voyager	VPP	_
partout	partout	ADV	_
avec	avec	P	_
moi	je	PRO	_
.	.	PONCT	_
"	"	PONCT	_
cet	ce	DET	_
exorde	exorde	NC	_
pénétra	pénétrer	V	_
