I	I	X	_
dans	dans	P	_
lequel	lequel	PROREL	_
Phileas	Phileas	NP	_
Fogg	Fogg	NP	_
et	et	CC	_
Passepartout	Passepartout	NP	_
s'	se	CLO	_
acceptent	accepter	V	_
réciproquement	réciproquement	ADV	_
,	,	PONCT	_
l'	le	DET	_
un	un	NC	_
comme	comme	P	_
maître	maître	NC	_
,	,	PONCT	_
l'	le	DET	_
autre	autre	NC	_
comme	comme	P	_
domestique	domestique	NC	_
.	.	PONCT	_
en	en	P	_
l'	le	DET	_
année	année	NC	_
1872	1872	ADJ	_
,	,	PONCT	_
la	le	DET	_
maison	maison	NC	_
portant	porter	VPR	_
le	le	DET	_
numéro	numéro	NC	_
7	7	ADJ	_
de	de	P	_
Saville	Saville	NP	_
-	-	PONCT	_
Row	Row	NP	_
,	,	PONCT	_
Burlington	Burlington	NP	_
Gardens	Gardens	NP	_
,	,	PONCT	_
-	-	PONCT	_
maison	maison	NC	_
dans	dans	P	_
laquelle	il	PROREL	_
Shéridan	Shéridan	NP	_
mourut	mourir	V	_
en	en	P	_
1814	1814	NC	_
,	,	PONCT	_
-	-	PONCT	_
était	être	V	_
habitée	habiter	VPP	_
par	par	P	_
Phileas	Phileas	NP	_
Fogg	Fogg	NP	_
,	,	PONCT	_
esq	esq	NC	_
.	.	PONCT	_
,	,	PONCT	_
l'	le	DET	_
un	un	NC	_
des	de_le	P+D	_
membres	membre	NC	_
les	le	DET	_
plus	plus	ADV	_
singuliers	singulier	ADJ	_
et	et	CC	_
les	le	DET	_
plus	plus	ADV	_
remarqués	remarquer	VPP	_
du	de_le	P+D	_
reform	reform	NC	_
-	-	PONCT	_
club	club	NC	_
de	de	P	_
Londres	Londres	NP	_
,	,	PONCT	_
bien	bien	ADV	_
qu'	que	CS	_
il	il	CLS	_
semblât	sembler	V	_
prendre	prendre	VINF	_
à	à	P	_
tâche	tâche	NC	_
de	de	P	_
ne	ne	ADV	_
rien	rien	PRO	_
faire	faire	VINF	_
qui	qui	PROREL	_
pût	pouvoir	V	_
attirer	attirer	VINF	_
l'	le	DET	_
attention	attention	NC	_
.	.	PONCT	_
à	à	P	_
l'	le	DET	_
un	un	NC	_
des	de_le	P+D	_
plus	plus	ADV	_
grands	grand	ADJ	_
orateurs	orateur	NC	_
qui	qui	PROREL	_
honorent	honorer	V	_
l'	le	DET	_
Angleterre	Angleterre	NP	_
,	,	PONCT	_
succédait	succéder	V	_
donc	donc	ADV	_
ce	ce	DET	_
Phileas	Phileas	NP	_
Fogg	Fogg	NP	_
,	,	PONCT	_
personnage	personnage	NC	_
énigmatique	énigmatique	ADJ	_
,	,	PONCT	_
dont	dont	PROREL	_
on	on	CLS	_
ne	ne	ADV	_
savait	savoir	V	_
rien	rien	PRO	_
,	,	PONCT	_
sinon	sinon	P	_
que	que	CS	_
c'	ce	CLS	_
était	être	V	_
un	un	DET	_
fort	fort	NC	_
galant	galant	ADJ	_
homme	homme	NC	_
et	et	CC	_
l'	le	DET	_
un	un	NC	_
des	de_le	P+D	_
plus	plus	ADV	_
beaux	beau	ADJ	_
gentlemen	gentleman	NC	_
de	de	P	_
la	le	DET	_
haute	haut	ADJ	_
société	société	NC	_
anglaise	anglais	ADJ	_
.	.	PONCT	_
On	on	CLS	_
disait	dire	V	_
qu'	que	CS	_
il	il	CLS	_
ressemblait	ressembler	V	_
à	à	P	_
Byron	Byron	NP	_
,	,	PONCT	_
-	-	PONCT	_
par	par	P	_
la	le	DET	_
tête	tête	NC	_
,	,	PONCT	_
car	car	CC	_
il	il	CLS	_
était	être	V	_
irréprochable	irréprochable	ADJ	_
quant_aux	quant_à_le	P+D	_
pieds	pied	NC	_
,	,	PONCT	_
-	-	PONCT	_
mais	mais	CC	_
un	un	DET	_
Byron	Byron	NP	_
à	à	P	_
moustaches	moustache	NC	_
et	et	CC	_
à	à	P	_
favoris	favori	NC	_
,	,	PONCT	_
un	un	DET	_
Byron	Byron	NP	_
impassible	impassible	ADJ	_
,	,	PONCT	_
qui	qui	PROREL	_
aurait	avoir	V	_
vécu	vivre	VPP	_
mille	mille	DET	_
ans	an	NC	_
sans	sans	P	_
vieillir	vieillir	VINF	_
.	.	PONCT	_
Anglais	Anglais	NC	_
,	,	PONCT	_
à	à	P	_
coup	coup	NC	_
sûr	sûr	ADJ	_
,	,	PONCT	_
Phileas	Phileas	NP	_
Fogg	Fogg	NP	_
n'	ne	ADV	_
était	être	V	_
peut-être	peut-être	ADV	_
pas	pas	ADV	_
londonner	londonner	ADJ	_
.	.	PONCT	_
On	on	CLS	_
ne	ne	ADV	_
l'	il	CLO	_
avait	avoir	V	_
jamais	jamais	ADV	_
vu	voir	VPP	_
ni	ni	CC	_
à	à	P	_
la	le	DET	_
bourse	bourse	NC	_
,	,	PONCT	_
ni	ni	CC	_
à	à	P	_
la	le	DET	_
banque	banque	NC	_
,	,	PONCT	_
ni	ni	CC	_
