APHORISMES	aphorisme	NC	_
DU	de_le	P+D	_
PROFESSEUR	professeur	NC	_
.	.	PONCT	_
Pour	pour	P	_
servir	servir	VINF	_
de	de	P	_
prolégomènes	prolégomènes	NC	_
à	à	P	_
son	son	DET	_
ouvrage	ouvrage	NC	_
et	et	CC	_
de	de	P	_
base	base	NC	_
éternelle	éternel	ADJ	_
à	à	P	_
la	le	DET	_
science	science	NC	_
.	.	PONCT	_
i	j	NC	_
l'	le	DET	_
univers	univers	NC	_
n'	ne	ADV	_
est	être	V	_
rien	rien	PRO	_
que	que	ADV	_
par	par	P	_
la	le	DET	_
vie	vie	NC	_
,	,	PONCT	_
et	et	CC	_
tout	tout	ADJ	_
ce	ce	PRO	_
qui	qui	PROREL	_
vit	vivre	V	_
se	se	CLO	_
nourrit	nourrir	V	_
.	.	PONCT	_
ii	ii	X	_
les	le	DET	_
animaux	animal	NC	_
se	se	CLO	_
repaissent	repaître	V	_
;	;	PONCT	_
l'	le	DET	_
homme	homme	NC	_
mange	manger	V	_
;	;	PONCT	_
l'	le	DET	_
homme	homme	NC	_
d'	de	P	_
esprit	esprit	NC	_
seul	seul	ADJ	_
sait	savoir	V	_
manger	manger	VINF	_
.	.	PONCT	_
iii	iii	X	_
la	le	DET	_
destinée	destinée	NC	_
des	de_le	P+D	_
nations	nation	NC	_
dépend	dépendre	V	_
de	de	P	_
la	le	DET	_
manière	manière	NC	_
dont	dont	PROREL	_
elles	il	CLS	_
se	se	CLO	_
nourrissent	nourrir	V	_
.	.	PONCT	_
IV	IV	X	_
dis	dire	V	_
-moi	je	CLO	_
ce	ce	PRO	_
que	que	PROREL	_
tu	tu	CLS	_
manges	manger	V	_
,	,	PONCT	_
je	je	CLS	_
te	tu	CLO	_
dirai	dire	V	_
ce	ce	PRO	_
que	que	PROREL	_
tu	tu	CLS	_
es	être	V	_
.	.	PONCT	_
v	u	NC	_
le	le	DET	_
créateur	créateur	NC	_
,	,	PONCT	_
en	en	P	_
obligeant	obliger	VPR	_
l'	le	DET	_
homme	homme	NC	_
à	à	P	_
manger	manger	VINF	_
pour	pour	P	_
vivre	vivre	VINF	_
,	,	PONCT	_
l'	il	CLO	_
y	y	CLO	_
invite	inviter	V	_
par	par	P	_
l'	le	DET	_
appétit	appétit	NC	_
,	,	PONCT	_
et	et	CC	_
l'	il	CLO	_
en	en	CLO	_
récompense	récompenser	V	_
par	par	P	_
le	le	DET	_
plaisir	plaisir	NC	_
.	.	PONCT	_
vi	vi	ADV	_
la	le	DET	_
gourmandise	gourmandise	NC	_
est	être	V	_
un	un	DET	_
acte	acte	NC	_
de	de	P	_
notre	notre	DET	_
jugement	jugement	NC	_
,	,	PONCT	_
par	par	P	_
lequel	lequel	PROREL	_
nous	nous	CLS	_
accordons	accorder	V	_
la	le	DET	_
préférence	préférence	NC	_
aux	à_le	P+D	_
choses	chose	NC	_
qui	qui	PROREL	_
sont	être	V	_
agréables	agréable	ADJ	_
au	à_le	P+D	_
goût	goût	NC	_
sur	sur	P	_
celles	celui	PRO	_
qui	qui	PROREL	_
n'	ne	ADV	_
ont	avoir	V	_
pas	pas	ADV	_
cette	ce	DET	_
qualité	qualité	NC	_
.	.	PONCT	_
vii	vii	X	_
le	le	DET	_
plaisir	plaisir	NC	_
de	de	P	_
la	le	DET	_
table	table	NC	_
est	être	V	_
de	de	P	_
tous	tout	ADJ	_
les	le	DET	_
âges	âge	NC	_
,	,	PONCT	_
de	de	P	_
toutes	tout	ADJ	_
les	le	DET	_
conditions	condition	NC	_
,	,	PONCT	_
de	de	P	_
tous	tout	ADJ	_
les	le	DET	_
pays	pays	NC	_
et	et	CC	_
de	de	P	_
tous	tout	ADJ	_
les	le	DET	_
jours	jour	NC	_
;	;	PONCT	_
il	il	CLS	_
peut	pouvoir	V	_
s'	se	CLO	_
associer	associer	VINF	_
à	à	P	_
tous	tout	ADJ	_
les	le	DET	_
autres	autre	ADJ	_
plaisirs	plaisir	NC	_
,	,	PONCT	_
et	et	CC	_
reste	rester	V	_
le	le	DET	_
dernier	dernier	NC	_
pour	pour	P	_
nous	nous	CLO	_
consoler	consoler	VINF	_
de	de	P	_
leur	leur	DET	_
perte	perte	NC	_
.	.	PONCT	_
viii	viii	X	_
la	le	DET	_
table	table	NC	_
est	être	V	_
le	le	DET	_
seul	seul	ADJ	_
endroit	endroit	NC	_
où	où	PROREL	_
l'on	on	CLS	_
ne	ne	ADV	_
s'	se	CLO	_
ennuie	ennuyer	V	_
jamais	jamais	ADV	_
pendant	pendant	P	_
la	le	DET	_
première	premier	ADJ	_
heure	heure	NC	_
.	.	PONCT	_
ix	ix	X	_
la	le	DET	_
découverte	découverte	NC	_
d'	de	P	_
un	un	DET	_
mets	mets	NC	_
nouveau	nouveau	ADJ	_
fait	faire	V	_
plus	plus	ADV	_
pour	pour	P	_
le	le	DET	_
bonheur	bonheur	NC	_
du	de_le	P+D	_
genre	genre	NC	_
humain	humain	ADJ	_
que	que	CS	_
la	le	DET	_
découverte	découverte	NC	_
d'	de	P	_
une	un	DET	_
étoile	étoile	NC	_
.	.	PONCT	_
X	x	NC	_
ceux	celui	PRO	_
qui	qui	PROREL	_
s'	se	CLO	_
indigèrent	indigérer	V	_
ou	ou	CC	_
qui	qui	PROREL	_
s'	se	CLO	_
enivrent	enivrer	V	_
