1	1	X	_
FRAGMENTS	FRAGMENTS	NC	_
Fragments	fragment	NC	_
et	et	CC	_
notes	note	NC	_
destinés	destiner	VPP	_
à	à	P	_
l'	le	DET	_
invention	invention	NC	_
.	.	PONCT	_
1.	1.	X	_
Côtoyer	côtoyer	VINF	_
toujours	toujours	ADV	_
les	le	DET	_
anciens	ancien	ADJ	_
auteurs	auteur	NC	_
.	.	PONCT	_
Sur	sur	P	_
des	un	DET	_
pensers	penser	NC	_
nouveaux	nouveau	ADJ	_
faisons	faire	V	_
des	un	DET	_
vers	ver	NC	_
antiques	antique	ADJ	_
.	.	PONCT	_
2.	2.	X	_
Eh_bien	eh_bien	I	_
,	,	PONCT	_
me	je	CLO	_
dites	dire	V	_
-vous	vous	CLS	_
,	,	PONCT	_
ces	ce	DET	_
mensonges	mensonge	NC	_
futiles	futile	ADJ	_
,	,	PONCT	_
des	un	DET	_
muses	muse	NC	_
noble	noble	ADJ	_
ouvrage	ouvrage	NC	_
,	,	PONCT	_
aux	à_le	P+D	_
muses	muse	NC	_
sont	être	V	_
utiles	utile	ADJ	_
.	.	PONCT	_
Les	le	DET	_
doctes	docte	ADJ	_
vérités	vérité	NC	_
,	,	PONCT	_
les	le	DET	_
calculs	calcul	NC	_
studieux	studieux	ADJ	_
qui	qui	PROREL	_
subjuguent	subjuguer	V	_
l'	le	DET	_
esprit	esprit	NC	_
et	et	CC	_
combattent	combattre	V	_
les	le	DET	_
yeux	œil	NC	_
,	,	PONCT	_
que	que	CS	_
l'on	on	CLS	_
croit	croire	V	_
malgré	malgré	P	_
soi	soi	PRO	_
,	,	PONCT	_
sont	être	V	_
pénibles	pénible	ADJ	_
,	,	PONCT	_
austères	austère	ADJ	_
,	,	PONCT	_
et	et	CC	_
moins	moins	ADV	_
grands	grand	ADJ	_
,	,	PONCT	_
moins	moins	ADV	_
pompeux	pompeux	ADJ	_
que	que	CS	_
leurs	leur	DET	_
belles	beau	ADJ	_
chimères	chimère	NC	_
.	.	PONCT	_
Ces	ce	DET	_
objets	objet	NC	_
,	,	PONCT	_
hérissés	hérisser	VPP	_
dans	dans	P	_
leurs	leur	DET	_
détours	détour	NC	_
nombreux	nombreux	ADJ	_
des	de_le	P+D	_
ronces	ronce	NC	_
d'	de	P	_
un	un	DET	_
langage	langage	NC	_
obscur	obscur	ADJ	_
et	et	CC	_
ténébreux	ténébreux	ADJ	_
,	,	PONCT	_
pour	pour	P	_
l'	le	DET	_
âme	âme	NC	_
,	,	PONCT	_
pour	pour	P	_
les	le	DET	_
sens	sens	NC	_
offrent	offrir	V	_
-ils	il	CLS	_
rien	rien	PRO	_
à	à	P	_
peindre	peindre	VINF	_
et	et	CC	_
l	le	DET	_
...	…	PONCT	_
des	un	DET	_
vers	ver	NC	_
y	y	CLO	_
pourrait	pouvoir	V	_
-il	il	CLS	_
atteindre	atteindre	VINF	_
?	?	PONCT	_
Oui	oui	I	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
ce	ce	PRO	_
que	que	PROREL	_
traités	traiter	VPP	_
,	,	PONCT	_
