italie	_
londres	_
LIVRE	livre	NC	_
PREMIER	PREMIER	ADJ	_
Chapitre	chapitre	NC	_
premier	premier	ADJ	_
.	.	PONCT	_
*	*	X	_
Oswald	Oswald	NP	_
lord	lord	NC	_
Nelvil	Nelvil	NP	_
,	,	PONCT	_
pair	pair	NC	_
d'	de	P	_
*	*	PONCT	_
écosse	écosser	V	_
,	,	PONCT	_
partit	partir	V	_
d'	de	P	_
*	*	PONCT	_
édimbourg	édimbourg	NC	_
pour	pour	P	_
se	se	CLO	_
rendre	rendre	VINF	_
en	en	P	_
*	*	X	_
italie	Italie	NP	_
pendant	pendant	P	_
l'	le	DET	_
hiver	hiver	NC	_
de	de	P	_
1794	1794	NC	_
à	à	P	_
1795	1795	NC	_
.	.	PONCT	_
Il	il	CLS	_
avait	avoir	V	_
une	un	DET	_
figure	figure	NC	_
noble	noble	ADJ	_
et	et	CC	_
belle	beau	ADJ	_
,	,	PONCT	_
beaucoup	beaucoup	PRO	_
d'	de	P	_
esprit	esprit	NC	_
,	,	PONCT	_
un	un	DET	_
grand	grand	ADJ	_
nom	nom	NC	_
,	,	PONCT	_
une	un	DET	_
fortune	fortune	NC	_
indépendante	indépendant	ADJ	_
;	;	PONCT	_
mais	mais	CC	_
sa	son	DET	_
santé	santé	NC	_
était	être	V	_
altérée	altérer	VPP	_
par	par	P	_
un	un	DET	_
profond	profond	ADJ	_
sentiment	sentiment	NC	_
de	de	P	_
peine	peine	NC	_
,	,	PONCT	_
et	et	CC	_
les	le	DET	_
médecins	médecin	NC	_
,	,	PONCT	_
craignant	craindre	VPR	_
que	que	CS	_
sa	son	DET	_
poitrine	poitrine	NC	_
ne	ne	ADV	_
fût	être	V	_
attaquée	attaquer	VPP	_
,	,	PONCT	_
lui	il	CLO	_
avaient	avoir	V	_
ordonné	ordonner	VPP	_
l'	le	DET	_
air	air	NC	_
du	de_le	P+D	_
midi	midi	NC	_
.	.	PONCT	_
Il	il	CLS	_
suivit	suivre	V	_
leurs	leur	DET	_
conseils	conseil	NC	_
,	,	PONCT	_
bien	bien	ADV	_
qu'	que	CS	_
il	il	CLS	_
mît	mettre	V	_
peu	peu	ADV	_
d'	de	P	_
intérêt	intérêt	NC	_
à	à	P	_
la	le	DET	_
conservation	conservation	NC	_
de	de	P	_
ses	son	DET	_
jours	jour	NC	_
.	.	PONCT	_
Il	il	CLS	_
espérait	espérer	V	_
du	de_le	P+D	_
moins	moins	NC	_
trouver	trouver	VINF	_
quelque	quelque	DET	_
distraction	distraction	NC	_
dans	dans	P	_
la	le	DET	_
diversité	diversité	NC	_
des	de_le	P+D	_
objets	objet	NC	_
qu'	que	PROREL	_
il	il	CLS	_
allait	aller	V	_
voir	voir	VINF	_
.	.	PONCT	_
La	le	DET	_
plus	plus	ADV	_
intime	intime	ADJ	_
de	de	P	_
toutes	tout	ADJ	_
les	le	DET	_
douleurs	douleur	NC	_
,	,	PONCT	_
la	le	DET	_
perte	perte	NC	_
d'	de	P	_
un	un	DET	_
père	père	NC	_
,	,	PONCT	_
était	être	V	_
la	le	DET	_
cause	cause	NC	_
de	de	P	_
sa	son	DET	_
maladie	maladie	NC	_
;	;	PONCT	_
des	un	DET	_
circonstances	circonstance	NC	_
cruelles	cruel	ADJ	_
,	,	PONCT	_
des	un	DET	_
remords	remords	NC	_
inspirés	inspirer	VPP	_
par	par	P	_
des	un	DET	_
scrupules	scrupule	NC	_
délicats	délicat	ADJ	_
aigrissaient	aigrir	V	_
encore	encore	ADV	_
ses	son	DET	_
regrets	regret	NC	_
,	,	PONCT	_
et	et	CC	_
l'	le	DET	_
imagination	imagination	NC	_
y	y	CLO	_
mêlait	mêler	V	_
ses	son	DET	_
fantômes	fantôme	NC	_
.	.	PONCT	_
Quand	quand	CS	_
on	on	CLS	_
souffre	souffrir	V	_
,	,	PONCT	_
on	on	CLS	_
se	se	CLO	_
persuade	persuader	V	_
aisément	aisément	ADV	_
que	que	CS	_
l'on	on	CLS	_
est	être	V	_
coupable	coupable	ADJ	_
,	,	PONCT	_
et	et	CC	_
les	le	DET	_
violens	violent	NC	_
chagrins	chagrin	ADJ	_
portent	porter	V	_
le	le	DET	_
trouble	trouble	NC	_
jusques	jusque	P	_
dans	dans	P	_
la	le	DET	_
conscience	conscience	NC	_
.	.	PONCT	_
à	à	P	_
vingt-cinq	vingt-cinq	DET	_
ans	an	NC	_
il	il	CLS	_
était	être	V	_
découragé	décourager	VPP	_
de	de	P	_
la	le	DET	_
vie	vie	NC	_
;	;	PONCT	_
son	son	DET	_
esprit	esprit	NC	_
jugeait	juger	V	_
tout	tout	ADV	_
d'	de	P	_
avance	avance	NC	_
,	,	PONCT	_
et	et	CC	_
sa	son	DET	_
sensibilité	sensibilité	NC	_
blessée	blesser	VPP	_
ne	ne	ADV	_
goûtait	goûter	V	_
plus	plus	ADV	_
les	le	DET	_
illusions	illusion	NC	_
du	de_le	P+D	_
coeur	cœur	NC	_
.	.	PONCT	_
Personne	personne	PRO	_
ne	ne	ADV	_
se	se	CLO	_
montrait	montrer	V	_
plus	plus	ADV	_
que	que	CS	_
lui	il	CLO	_
complaisant	complaire	VPR	_
et	et	CC	_
dévoué	dévouer	VPP	_
pour	pour	P	_
ses	son	DET	_
amis	ami	NC	_
quand	quand	CS	_
il	il	CLS	_
pouvait	pouvoir	V	_
leur	il	CLO	_
rendre	rendre	VINF	_
service	service	NC	_
,	,	PONCT	_
mais	mais	CC	_
rien	rien	PRO	_
ne	ne	ADV	_
lui	il	CLO	_
causait	causer	V	_
un	un	DET	_
sentiment	sentiment	NC	_
de	de	P	_
plaisir	plaisir	NC	_
,	,	PONCT	_
pas	pas	ADV	_
même	même	ADV	_
le	le	DET	_
bien	bien	NC	_
qu'	que	PROREL	_
il	il	CLS	_
faisait	faire	V	_
;	;	PONCT	_
il	il	CLS	_
sacrifiait	sacrifier	V	_
sans	sans	P	_
cesse	cesse	NC	_
et	et	CC	_
facilement	facilement	ADV	_
ses	son	DET	_
goûts	goût	NC	_
à	à	P	_
ceux	celui	PRO	_
d'	de	P	_
autrui	autrui	PRO	_
;	;	PONCT	_
mais	mais	CC	_
on	on	CLS	_
ne	ne	ADV	_
pouvait	pouvoir	V	_
expliquer	expliquer	VINF	_
par	par	P	_
la	le	DET	_
générosité	générosité	NC	_
seule	seul	ADJ	_
cette	ce	DET	_
abnégation	abnégation	NC	_
absolue	absolu	ADJ	_
de	de	P	_
tout	tout	PRO	_
égoisme	égoisme	ADV	_
;	;	PONCT	_
et	et	CC	_
l'on	on	CLS	_
devait	devoir	V	_
souvent	souvent	ADV	_
l'	il	CLO	_
attribuer	attribuer	VINF	_
au	à_le	P+D	_
genre	genre	NC	_
de	de	P	_
tristesse	tristesse	NC	_
qui	qui	PROREL	_
ne	ne	ADV	_
lui	il	CLO	_
permettait	permettre	V	_
plus	plus	ADV	_
de	de	P	_
s'	se	CLO	_
intéresser	intéresser	VINF	_
à	à	P	_
son	son	DET	_
propre	propre	ADJ	_
sort	sort	NC	_
.	.	PONCT	_
Les	le	DET	_
indifférens	indifférent	NC	_
jouissaient	jouir	V	_
de	de	P	_
ce	ce	DET	_
caractère	caractère	NC	_
,	,	PONCT	_
et	et	CC	_
le	il	CLO	_
trouvaient	trouver	V	_
plein	plein	ADJ	_
de	de	P	_
grâces	grâce	NC	_
et	et	CC	_
de	de	P	_
charmes	charme	NC	_
;	;	PONCT	_
mais	mais	CC	_
quand	quand	CS	_
on	on	CLS	_
l'	il	CLO	_
aimait	aimer	V	_
,	,	PONCT	_
on	on	CLS	_
sentait	sentir	V	_
qu'	que	CS	_
il	il	CLS	_
s'	se	CLO	_
occupait	occuper	V	_
du	de_le	P+D	_
bonheur	bonheur	NC	_
des	de_le	P+D	_
autres	autre	NC	_
comme	comme	P	_
un	un	DET	_
homme	homme	NC	_
qui	qui	PROREL	_
n'	ne	ADV	_
en	en	CLO	_
espérait	espérer	V	_
pas	pas	ADV	_
pour	pour	P	_
lui	il	PRO	_
-même	même	ADJ	_
;	;	PONCT	_
et	et	CC	_
l'on	on	CLS	_
était	être	V	_
presque	presque	ADV	_
affligé	affliger	VPP	_
de	de	P	_
ce	ce	DET	_
bonheur	bonheur	NC	_
qu'	que	PROREL	_
il	il	CLS	_
donnait	donner	V	_
sans	sans	P	_
qu'	que	CS	_
on	on	CLS	_
pût	pouvoir	V	_
le	il	CLO	_
lui	il	CLO	_
rendre	rendre	VINF	_
.	.	PONCT	_
Il	il	CLS	_
avait	avoir	V	_
cependant	cependant	ADV	_
un	un	DET	_
caractère	caractère	NC	_
mobile	mobile	ADJ	_
,	,	PONCT	_
sensible	sensible	ADJ	_
et	et	CC	_
passionné	passionné	ADJ	_
;	;	PONCT	_
il	il	CLS	_
réunissait	réunir	V	_
tout	tout	ADJ	_
ce	ce	PRO	_
qui	qui	PROREL	_
peut	pouvoir	V	_
entraîner	entraîner	VINF	_
les	le	DET	_
autres	autre	NC	_
et	et	CC	_
soi	soi	PRO	_
-même	même	ADJ	_
:	:	PONCT	_
mais	mais	CC	_
le	le	DET	_
malheur	malheur	NC	_
et	et	CC	_
le	le	DET	_
repentir	repentir	VINF	_
l'	il	CLO	_
avaient	avoir	V	_
rendu	rendre	VPP	_
timide	timide	ADJ	_
envers	envers	P	_
la	le	DET	_
destinée	destinée	NC	_
:	:	PONCT	_
il	il	CLS	_
croyait	croire	V	_
la	il	CLO	_
désarmer	désarmer	VINF	_
en	en	P	_
n'	ne	ADV	_
exigeant	exiger	VPR	_
rien	rien	PRO	_
d'	de	P	_
elle	il	PRO	_
.	.	PONCT	_
Il	il	CLS	_
espérait	espérer	V	_
trouver	trouver	VINF	_
dans	dans	P	_
le	le	DET	_
strict	strict	ADJ	_
attachement	attachement	NC	_
à	à	P	_
tous	tout	ADJ	_
ses	son	DET	_
devoirs	devoir	NC	_
,	,	PONCT	_
et	et	CC	_
dans	dans	P	_
le	le	DET	_
renoncement	renoncement	NC	_
aux	à_le	P+D	_
jouissances	jouissance	NC	_
vives	vif	ADJ	_
,	,	PONCT	_
une	un	DET	_
garantie	garantie	NC	_
contre	contre	P	_
les	le	DET	_
peines	peine	NC	_
qui	qui	PROREL	_
déchirent	déchirer	V	_
l'	le	DET	_
ame	âme	NC	_
;	;	PONCT	_
ce	ce	PRO	_
qu'	que	PROREL	_
il	il	CLS	_
avait	avoir	V	_
éprouvé	éprouver	VPP	_
lui	il	CLO	_
faisait	faire	V	_
peur	peur	NC	_
,	,	PONCT	_
et	et	CC	_
rien	rien	PRO	_
ne	ne	ADV	_
lui	il	CLO	_
paraissait	paraître	V	_
valoir	valoir	VINF	_
dans	dans	P	_
ce	ce	DET	_
monde	monde	NC	_
la	le	DET	_
chance	chance	NC	_
de	de	P	_
ces	ce	DET	_
peines	peine	NC	_
:	:	PONCT	_
mais	mais	CC	_
quand	quand	CS	_
on	on	CLS	_
est	être	V	_
capable	capable	ADJ	_
de	de	P	_
les	il	CLO	_
ressentir	ressentir	VINF	_
,	,	PONCT	_
quel	quel	PROWH	_
est	être	V	_
le	le	DET	_
genre	genre	NC	_
de	de	P	_
vie	vie	NC	_
qui	qui	PROREL	_
peut	pouvoir	V	_
en	en	CLO	_
mettre	mettre	VINF	_
à	à	P	_
l'	le	DET	_
abri	abri	NC	_
?	?	PONCT	_
Lord	lord	NC	_
Nelvil	Nelvil	NP	_
se	se	CLO	_
flattait	flatter	V	_
de	de	P	_
quitter	quitter	VINF	_
l'	le	DET	_
*	*	PONCT	_
écosse	écosser	V	_
sans	sans	P	_
regret	regret	NC	_
,	,	PONCT	_
puisqu'	puisque	CS	_
il	il	CLS	_
y	y	CLO	_
restait	rester	V	_
sans	sans	P	_
plaisir	plaisir	NC	_
;	;	PONCT	_
mais	mais	CC	_
ce	ce	CLS	_
n'	ne	ADV	_
est	être	V	_
pas	pas	ADV	_
ainsi	ainsi	ADV	_
qu'	que	PROREL	_
est	être	V	_
faite	faire	VPP	_
la	le	DET	_
funeste	funeste	ADJ	_
imagination	imagination	NC	_
des	de_le	P+D	_
ames	âme	NC	_
sensibles	sensible	ADJ	_
:	:	PONCT	_
il	il	CLS	_
ne	ne	ADV	_
se	se	CLO	_
doutait	douter	V	_
pas	pas	ADV	_
des	un	DET	_
liens	lien	NC	_
qui	qui	PROREL	_
l'	il	CLO	_
attachaient	attacher	V	_
aux	à_le	P+D	_
lieux	lieu	NC	_
qui	qui	PROREL	_
lui	il	CLO	_
faisaient	faire	V	_
le	le	DET	_
plus	plus	NC	_
de	de	P	_
mal	mal	NC	_
,	,	PONCT	_
à	à	P	_
l'	le	DET	_
habitation	habitation	NC	_
de	de	P	_
son	son	DET	_
père	père	NC	_
.	.	PONCT	_
Il	il	CLS	_
y	y	CLO	_
avait	avoir	V	_
dans	dans	P	_
cette	ce	DET	_
habitation	habitation	NC	_
des	de_le	P+D	_
chambres	chambre	NC	_
,	,	PONCT	_
des	un	DET	_
places	place	NC	_
dont	dont	PROREL	_
il	il	CLS	_
ne	ne	ADV	_
pouvait	pouvoir	V	_
approcher	approcher	VINF	_
sans	sans	P	_
frémir	frémir	VINF	_
:	:	PONCT	_
et	et	CC	_
cependant	cependant	ADV	_
quand	quand	CS	_
il	il	CLS	_
se	se	CLO	_
résolut	résoudre	V	_
à	à	P	_
s'	se	CLO	_
en	en	CLO	_
éloigner	éloigner	VINF	_
