élémens	_
INTRODUCTION	introduction	NC	_
IDÉOLOGIE	IDÉOLOGIE	ADJ	_
T	T	NC	_
1	1	ADJ	_
Jeunes	jeune	ADJ	_
gens	gens	NC	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
à	à	P	_
vous	vous	PRO	_
que	que	PROREL	_
je	je	CLS	_
m'	je	CLO	_
adresse	adresser	V	_
;	;	PONCT	_
c'	ce	CLS	_
est	être	V	_
pour	pour	P	_
vous	vous	PRO	_
seuls	seul	ADJ	_
que	que	PROREL	_
j'	je	CLS	_
écris	écrire	V	_
.	.	PONCT	_
Je	je	CLS	_
ne	ne	ADV	_
prétends	prétendre	V	_
point	point	ADV	_
donner	donner	VINF	_
des	un	DET	_
leçons	leçon	NC	_
à	à	P	_
ceux	celui	PRO	_
qui	qui	PROREL	_
savent	savoir	V	_
déjà	déjà	ADV	_
beaucoup	beaucoup	PRO	_
de	de	P	_
choses	chose	NC	_
,	,	PONCT	_
et	et	CC	_
les	il	CLO	_
savent	savoir	V	_
bien	bien	ADV	_
:	:	PONCT	_
je	je	CLS	_
leur	il	CLO	_
demanderais	demander	V	_
des	un	DET	_
lumières	lumière	NC	_
au	à_le	P+D	_
lieu	lieu	NC	_
de	de	P	_
leur	il	CLO	_
en	en	CLO	_
offrir	offrir	VINF	_
.	.	PONCT	_
Et	et	CC	_
quant_à	quant_à	P	_
ceux	celui	PRO	_
qui	qui	PROREL	_
savent	savoir	V	_
mal	mal	ADV	_
,	,	PONCT	_
c'est-à-dire	c'est-à-dire	CC	_
,	,	PONCT	_
qui	qui	PROREL	_
ayant	avoir	VPR	_
un	un	DET	_
très	très	ADV	_
-	-	PONCT	_
grand	grand	ADJ	_
nombre	nombre	NC	_
de	de	P	_
connaissances	connaissance	NC	_
,	,	PONCT	_
en	en	CLO	_
ont	avoir	V	_
tiré	tirer	VPP	_
de	de	P	_
faux	faux	ADJ	_
résultats	résultat	NC	_
dont	dont	PROREL	_
ils	il	CLS	_
se	se	CLO	_
croient	croire	V	_
très	très	ADV	_
-	-	PONCT	_
sûrs	sûr	ADJ	_
,	,	PONCT	_
et	et	CC	_
auxquels	auquel	PROREL	_
ils	il	CLS	_
sont	être	V	_
attachés	attacher	VPP	_
par	par	P	_
une	un	DET	_
longue	long	ADJ	_
habitude	habitude	NC	_
,	,	PONCT	_
je	je	CLS	_
suis	être	V	_
encore	encore	ADV	_
plus	plus	ADV	_
éloigné	éloigner	VPP	_
de	de	P	_
leur	il	CLO	_
présenter	présenter	VINF	_
mes	mon	DET	_
idées	idée	NC	_
:	:	PONCT	_
car	car	CC	_
,	,	PONCT	_
comme	comme	CS	_
l'	il	CLO	_
a	avoir	V	_
dit	dire	VPP	_
un	un	PRO	_
des	de_le	P+D	_
plus	plus	ADV	_
grands	grand	ADJ	_
philosophes	philosophe	NC	_
modernes	moderne	ADJ	_
,	,	PONCT	_
"	"	PONCT	_
quand	quand	CS	_
les	le	DET	_
hommes	homme	NC	_
ont	avoir	V	_
une	un	DET	_
fois	fois	NC	_
acquiescé	acquiescer	VPP	_
à	à	P	_
des	un	DET	_
opinions	opinion	NC	_
fausses	faux	ADJ	_
,	,	PONCT	_
et	et	CC	_
qu'	que	CS	_
ils	il	CLS	_
les	il	CLO	_
ont	avoir	V	_
authentiquement	authentiquement	ADV	_
enregistrées	enregistrer	VPP	_
dans	dans	P	_
leurs	leur	DET	_
esprits	esprit	NC	_
,	,	PONCT	_
il	il	CLS	_
est	être	V	_
tout	tout	ADV	_
aussi	aussi	ADV	_
impossible	impossible	ADJ	_
de	de	P	_
leur	leur	DET	_
parler	parler	VINF	_
intelligiblement	intelligiblement	ADV	_
que	que	CS	_
d'	de	P	_
écrire	écrire	VINF	_
lisiblement	lisiblement	ADV	_
sur	sur	P	_
un	un	DET	_
papier	papier	NC	_
déjà	déjà	ADV	_
brouillé	brouiller	VPP	_
d'	de	P	_
écriture	écriture	NC	_
"	"	PONCT	_
.	.	PONCT	_
Rien	rien	PRO	_
n'	ne	ADV	_
est	être	V	_
plus	plus	ADV	_
