PRÉFACE	préface	NC	_
Je	je	CLS	_
me	je	CLO	_
trouvais	trouver	V	_
,	,	PONCT	_
il	il	CLS	_
y	y	CLO	_
a	avoir	V	_
quelques	quelque	DET	_
années	année	NC	_
,	,	PONCT	_
dans	dans	P	_
une	un	PRO	_
des	de_le	P+D	_
plus	plus	ADV	_
belles	beau	ADJ	_
provinces	province	NC	_
du	de_le	P+D	_
Danemarck	Danemarck	NP	_
:	:	PONCT	_
la	le	DET	_
nature	nature	NC	_
,	,	PONCT	_
tour	tour	NC	_
à	à	P	_
tour	tour	NC	_
sauvage	sauvage	ADJ	_
et	et	CC	_
riante	riant	ADJ	_
,	,	PONCT	_
souvent	souvent	ADV	_
sublime	sublime	ADJ	_
,	,	PONCT	_
avait	avoir	V	_
jeté	jeter	VPP	_
dans	dans	P	_
le	le	DET	_
magnifique	magnifique	ADJ	_
paysage	paysage	NC	_
que	que	PROREL	_
j'	je	CLS	_
aimais	aimer	V	_
à	à	P	_
contempler	contempler	VINF	_
,	,	PONCT	_
là	là	ADV	_
de	un	DET	_
hautes	haut	ADJ	_
forêts	forêt	NC	_
,	,	PONCT	_
ici	ici	ADV	_
des	un	DET	_
lacs	lac	NC	_
tranquilles	tranquille	ADJ	_
,	,	PONCT	_
tandis_que	tandis_que	CS	_
dans	dans	P	_
l'	le	DET	_
éloignement	éloignement	NC	_
la	le	DET	_
mer	mer	NC	_
du	de_le	P+D	_
Nord	Nord	NP	_
et	et	CC	_
la	le	DET	_
mer	mer	NC	_
*	*	X	_
Baltique	Baltique	NP	_
roulaient	rouler	V	_
leurs	leur	DET	_
vastes	vaste	ADJ	_
ondes	onde	NC	_
au	à_le	P+D	_
pied	pied	NC	_
des	de_le	P+D	_
montagnes	montagne	NC	_
de	de	P	_
la	le	DET	_
Suède	Suède	NP	_
,	,	PONCT	_
et	et	CC	_
que	que	CS	_
la	le	DET	_
rêveuse	rêveur	ADJ	_
mélancolie	mélancolie	NC	_
invitait	inviter	V	_
à	à	P	_
s'	se	CLO	_
asseoir	asseoir	VINF	_
sur	sur	P	_
les	le	DET	_
tombeaux	tombeau	NC	_
des	de_le	P+D	_
anciens	ancien	ADJ	_
scandinaves	scandinave	NC	_
,	,	PONCT	_
placés	placer	VPP	_
,	,	PONCT	_
d'	de	P	_
après	après	P	_
l'	le	DET	_
antique	antique	ADJ	_
usage	usage	NC	_
de	de	P	_
ce	ce	DET	_
peuple	peuple	NC	_
,	,	PONCT	_
sur	sur	P	_
des	un	DET	_
collines	colline	NC	_
et	et	CC	_
des	un	DET	_
tertres	tertre	NC	_
répandus	répandre	VPP	_
dans	dans	P	_
la	le	DET	_
plaine	plaine	NC	_
.	.	PONCT	_
"	"	PONCT	_
rien	rien	PRO	_
n'	ne	ADV	_
est	être	V	_
plus	plus	ADV	_
poétique	poétique	ADJ	_
,	,	PONCT	_
a	avoir	V	_
dit	dire	VPP	_
un	un	DET	_
éloquent	éloquent	ADJ	_
écrivain	écrivain	NC	_
,	,	PONCT	_
qu'	que	CS	_
un	un	DET	_
coeur	cœur	NC	_
de	de	P	_
seize	seize	DET	_
années	année	NC	_
.	.	PONCT	_
"	"	PONCT	_
sans	sans	P	_
être	être	VINF	_
aussi	aussi	ADV	_
jeune	jeune	ADJ	_
,	,	PONCT	_
je	je	CLS	_
l'	il	CLO	_
étais	être	V	_
cependant	cependant	ADV	_
;	;	PONCT	_
j'	je	CLS	_
aimais	aimer	V	_
à	à	P	_
sentir	sentir	VINF	_
et	et	CC	_
à	à	P	_
méditer	méditer	VINF	_
,	,	PONCT	_
et	et	CC	_
souvent	souvent	ADV	_
je	je	CLS	_
créais	créer	V	_
autour	autour	ADV	_
de	de	P	_
moi	je	PRO	_
des	un	DET	_
tableaux	tableau	NC	_
aussi	aussi	ADV	_
variés	varié	ADJ	_
que	que	CS	_
les	le	DET	_
sites	site	NC	_
qui	qui	PROREL	_
m'	je	CLO	_
environnaient	environner	V	_
.	.	PONCT	_
Tantôt	tantôt	ADV	_
je	je	CLS	_
voyais	voir	V	_
les	le	DET	_
scènes	scène	NC	_
terribles	terrible	ADJ	_
qui	qui	PROREL	_
avaient	avoir	V	_
offert	offrir	VPP	_
au	à_le	P+D	_
génie	génie	NC	_
de	de	P	_
*	*	X	_
Shakespeare	Shakespeare	NP	_
les	le	DET	_
effrayantes	effrayant	ADJ	_
beautés	beauté	NC	_
de	de	P	_
Hamlet	Hamlet	NP	_
;	;	PONCT	_
tantôt	tantôt	ADV	_
les	le	DET	_
images	image	NC	_
plus	plus	ADV	_
douces	doux	ADJ	_
de	de	P	_
la	le	DET	_
vertu	vertu	NC	_
et	et	CC	_
de	de	P	_
l'	le	DET	_
amour	amour	NC	_
se	se	CLO	_
présentaient	présenter	V	_
à	à	P	_
moi	je	PRO	_
,	,	PONCT	_
et	et	CC	_
je	je	CLS	_
voyais	voir	V	_
les	le	DET	_
ombres	ombre	NC	_
touchantes	touchant	ADJ	_
de	de	P	_
Virginie	Virginie	NP	_
et	et	CC	_
de	de	P	_
*	*	X	_
Paul	Paul	NP	_
:	:	PONCT	_
j'	je	CLS	_
aimais	aimer	V	_
à	à	P	_
faire	faire	VINF	_
revivre	revivre	VINF	_
ces	ce	DET	_
êtres	être	NC	_
aimables	aimable	ADJ	_
et	et	CC	_
infortunés	infortuné	ADJ	_
;	;	PONCT	_
j'	je	CLS	_
aimais	aimer	V	_
à	à	P	_
leur	il	CLO	_
offrir	offrir	VINF	_
des	un	DET	_
ombrages	ombrage	NC	_
aussi	aussi	ADV	_
doux	doux	ADJ	_
que	que	CS	_
ceux	celui	PRO	_
des	de_le	P+D	_
cocotiers	cocotier	NC	_
,	,	PONCT	_
une	un	DET	_
nature	nature	NC	_
aussi	aussi	ADV	_
grande	grand	ADJ	_
que	que	CS	_
celle	celui	PRO	_
des	de_le	P+D	_
tropiques	tropique	NC	_
,	,	PONCT	_
des	un	DET	_
rivages	rivage	NC	_
solitaires	solitaire	ADJ	_
et	et	CC	_
magnifiques	magnifique	ADJ	_
comme	comme	P	_
ceux	celui	PRO	_
de	de	P	_
la	le	DET	_
mer	mer	NC	_
des	de_le	P+D	_
Indes	Indes	NP	_
.	.	PONCT	_
Ce	ce	CLS	_
fut	être	V	_
au	à_le	P+D	_
milieu	milieu	NC	_
de	de	P	_
ces	ce	DET	_
rêves	rêve	NC	_
,	,	PONCT	_
de	de	P	_
ces	ce	DET	_
fictions	fiction	NC	_
et	et	CC	_
de	de	P	_
ces	ce	DET	_
souvenirs	souvenir	NC	_
,	,	PONCT	_
que	que	CS	_
je	je	CLS	_
fus	être	V	_
surprise	surprendre	VPP	_
un	un	DET	_
jour	jour	NC	_
par	par	P	_
le	le	DET	_
récit	récit	NC	_
touchant	toucher	VPR	_
d'	de	P	_
une	un	PRO	_
de	de	P	_
ces	ce	DET	_
infortunes	un	NC	_
qui	qui	PROREL	_
vont	aller	V	_
chercher	chercher	VINF	_
au	à_le	P+D	_
fond	fond	NC	_
du	de_le	P+D	_
coeur	cœur	NC	_
des	de_le	P+D	_
larmes	larme	NC	_
et	et	CC	_
des	un	DET	_
regrets	regret	NC	_
.	.	PONCT	_
L'	le	DET	_
histoire	histoire	NC	_
d'	de	P	_
un	un	DET	_
jeune	jeune	ADJ	_
suédois	suédois	NC	_
,	,	PONCT	_
d'	de	P	_
une	un	DET	_
naissance	naissance	NC	_
illustre	illustre	ADJ	_
,	,	PONCT	_
me	je	CLO	_
fut	être	V	_
racontée	raconter	VPP	_
par	par	P	_
la	le	DET	_
personne	personne	NC	_
même	même	ADJ	_
qui	qui	PROREL	_
avait	avoir	V	_
été	être	VPP	_
la	le	DET	_
cause	cause	NC	_
innocente	innocent	ADJ	_
de	de	P	_
son	son	DET	_
malheur	malheur	NC	_
.	.	PONCT	_
J'	je	CLS	_
obtins	obtenir	V	_
quelques	quelque	DET	_
fragmens	fragment	NC	_
écrits	écrire	VPP	_
par	par	P	_
lui	il	PRO	_
-même	même	ADJ	_
:	:	PONCT	_
je	je	CLS	_
ne	ne	ADV	_
pus	pouvoir	V	_
les	il	CLO	_
parcourir	parcourir	VINF	_
qu'	qu'	ADV	_
à	à	P	_
la	le	DET	_
hâte	hâte	NC	_
;	;	PONCT	_
mais	mais	CC	_
je	je	CLS	_
résolus	résoudre	V	_
de	de	P	_
noter	noter	VINF	_
sur-le-champ	sur-le-champ	ADV	_
les	le	DET	_
traits	trait	NC	_
principaux	principal	ADJ	_
qui	qui	PROREL	_
étaient	être	V	_
restés	rester	VPP	_
gravés	graver	VPP	_
dans	dans	P	_
ma	mon	DET	_
mémoire	mémoire	NC	_
.	.	PONCT	_
J'	je	CLS	_
obtins	obtenir	V	_
après	après	P	_
quelques	quelque	DET	_
années	année	NC	_
la	le	DET	_
permission	permission	NC	_
de	de	P	_
les	il	CLO	_
publier	publier	VINF	_
:	:	PONCT	_
je	je	CLS	_
changeai	changer	V	_
les	le	DET	_
noms	nom	NC	_
,	,	PONCT	_
les	le	DET	_
lieux	lieu	NC	_
,	,	PONCT	_
les	le	DET	_
temps	temps	NC	_
;	;	PONCT	_
je	je	CLS	_
remplis	remplir	V	_
les	le	DET	_
lacunes	un	NC	_
,	,	PONCT	_
j'	je	CLS	_
ajoutai	ajouter	V	_
les	le	DET	_
détails	détail	NC	_
qui	qui	PROREL	_
me	je	CLO	_
parurent	paraître	V	_
nécessaires	nécessaire	ADJ	_
;	;	PONCT	_
mais	mais	CC	_
,	,	PONCT	_
je	je	CLS	_
puis	pouvoir	V	_
le	il	CLO	_
dire	dire	VINF	_
avec	avec	P	_
vérité	vérité	NC	_
,	,	PONCT	_
loin	loin	ADV	_
d'	de	P	_
embellir	embellir	VINF	_
le	le	DET	_
caractère	caractère	NC	_
de	de	P	_
*	*	X	_
Gustave	Gustave	NP	_
,	,	PONCT	_
je	je	CLS	_
n'	ne	ADV	_
ai	avoir	V	_
peut-être	peut-être	ADV	_
pas	pas	ADV	_
montré	montrer	VPP	_
toutes	tout	ADJ	_
ses	son	DET	_
vertus	vertu	NC	_
;	;	PONCT	_
je	je	CLS	_
craignais	craindre	V	_
de	de	P	_
