LETTRE	lettre	NC	_
DE	de	P	_
CUVIER	cuvier	NC	_
à	à	P	_
J.	J.	NP	_
-	-	PONCT	_
C.	C.	NP	_
MERTRUD	Mertrud	NP	_
Le	le	DET	_
livre	livre	NC	_
que	que	PROREL	_
je	je	CLS	_
vous	vous	CLO	_
adresse	adresser	V	_
vous	vous	CLS	_
doit	devoir	V	_
son	son	DET	_
existence	existence	NC	_
;	;	PONCT	_
car	car	CC	_
,	,	PONCT	_
si	si	CS	_
mes	mon	DET	_
leçons	leçon	NC	_
ont	avoir	V	_
eu	avoir	VPP	_
quelqu'	quelque	DET	_
intérêt	intérêt	NC	_
,	,	PONCT	_
elles	il	CLS	_
le	il	CLO	_
tiennent	tenir	V	_
sur-tout	sur-tout	ADV	_
de	de	P	_
l'	le	DET	_
usage	usage	NC	_
que	que	PROREL	_
vous	vous	PRO	_
et	et	CC	_
vos	votre	DET	_
collègues	collègue	NC	_
,	,	PONCT	_
m'	je	CLO	_
avez	avoir	V	_
permis	permettre	VPP	_
de	de	P	_
faire	faire	VINF	_
de	de	P	_
la	le	DET	_
belle	beau	ADJ	_
collection	collection	NC	_
qui	qui	PROREL	_
est	être	V	_
maintenant	maintenant	ADV	_
confiée	confier	VPP	_
à	à	P	_
vos	votre	DET	_
soins	soin	NC	_
,	,	PONCT	_
et	et	CC	_
à	à	P	_
la	le	DET	_
formation	formation	NC	_
de	de	P	_
laquelle	il	PROREL	_
vous	vous	CLS	_
avez	avoir	V	_
tant	tant	ADV	_
contribué	contribuer	VPP	_
,	,	PONCT	_
lorsque	lorsque	CS	_
*	*	X	_
Daubenton	Daubenton	NP	_
la	il	CLO	_
créoit	créer	V	_
,	,	PONCT	_
lorsqu'	lorsque	CS	_
il	il	CLS	_
y	y	CLO	_
puisoit	puiser	V	_
les	le	DET	_
matériaux	matériau	NC	_
de	de	P	_
la	le	DET	_
partie	partie	NC	_
la	le	DET	_
plus	plus	ADV	_
importante	important	ADJ	_
d'	de	P	_
un	un	DET	_
ouvrage	ouvrage	NC	_
immortel	immortel	ADJ	_
.	.	PONCT	_
Aujourd'hui	aujourd'hui	ADV	_
que	que	CS	_
cette	ce	DET	_
collection	collection	NC	_
,	,	PONCT	_
enrichie	enrichir	VPP	_
par	par	P	_
une	un	DET	_
administration	administration	NC	_
sage	sage	ADJ	_
et	et	CC	_
par	par	P	_
un	un	DET	_
travail	travail	NC	_
assidu	assidu	ADJ	_
,	,	PONCT	_
surpasse	surpasser	V	_
toutes	tout	ADJ	_
celles	celui	PRO	_
qui	qui	PROREL	_
existent	exister	V	_
dans	dans	P	_
son	son	DET	_
genre	genre	NC	_
;	;	PONCT	_
aujourd'hui	aujourd'hui	ADV	_
qu'	que	CS	_
elle	il	CLS	_
présente	présenter	V	_
,	,	PONCT	_
dans	dans	P	_
le	le	DET	_
plus	plus	ADV	_
bel	beau	ADJ	_
ordre	ordre	NC	_
et	et	CC	_
dans	dans	P	_
le	le	DET	_
plus	plus	ADV	_
grand	grand	ADJ	_
développement	développement	NC	_
,	,	PONCT	_
toutes	tout	ADJ	_
les	le	DET	_
parties	partie	NC	_
du	de_le	P+D	_
corps	corps	NC	_
animal	animal	ADJ	_
prises	prendre	VPP	_
,	,	PONCT	_
dans	dans	P	_
les	le	DET	_
espèces	espèce	NC	_
les	le	DET	_
plus	plus	ADV	_
éloignées	éloigné	ADJ	_
,	,	PONCT	_
depuis	depuis	P	_
celles	celui	PRO	_
qui	qui	PROREL	_
s'	se	CLO	_
approchent	approcher	V	_
le	le	DET	_
plus	plus	NC	_
de	de	P	_
l'	le	DET	_
homme	homme	NC	_
par	par	P	_
leur	leur	DET	_
perfection	perfection	NC	_
,	,	PONCT	_
jusqu'	jusque	P	_
à	à	P	_
celles	celui	PRO	_
où	où	PROREL	_
l'on	on	CLS	_
n'	ne	ADV	_
apperçoit	apercevoir	V	_
plus	plus	ADV	_
qu'	qu'	ADV	_
une	un	DET	_
pulpe	pulpe	NC	_
à	à	P	_
peine	peine	NC	_
organisée	organiser	VPP	_
,	,	PONCT	_
la	le	DET	_
simple	simple	ADJ	_
anatomie	anatomie	NC	_
comparée	comparé	ADJ	_
est	être	V	_
presque	presque	ADV	_
devenue	devenir	VPP	_
un	un	DET	_
jeu	jeu	NC	_
:	:	PONCT	_
il	il	CLS	_
suffit	suffire	V	_
d'	de	P	_
un	un	DET	_
coup	coup	NC	_
-	-	PONCT	_
d'	de	P	_
oeil	œil	NC	_
pour	pour	P	_
appercevoir	apercevoir	VINF	_
les	le	DET	_
variations	variation	NC	_
,	,	PONCT	_
les	le	DET	_
dégradations	dégradation	NC	_
sccessives	sccessives	ADJ	_
de	de	P	_
