DISCOURS	discours	NC	_
PRÉLIMINAIRE	PRÉLIMINAIRE	ADJ	_
Une	un	DET	_
science	science	NC	_
ne	ne	ADV	_
fait	faire	V	_
de	un	DET	_
véritables	véritable	ADJ	_
progrès	progrès	NC	_
que	que	ADV	_
lorsqu'	lorsque	CS	_
on	on	CLS	_
est	être	V	_
parvenu	parvenir	VPP	_
à	à	P	_
bien	bien	ADV	_
déterminer	déterminer	VINF	_
le	le	DET	_
champ	champ	NC	_
où	où	PROREL	_
peuvent	pouvoir	V	_
s'	se	CLO	_
étendre	étendre	VINF	_
ses	son	DET	_
recherches	recherche	NC	_
et	et	CC	_
l'	le	DET	_
objet	objet	NC	_
qu'	que	PROREL	_
elles	il	CLS	_
doivent	devoir	V	_
se	se	CLO	_
proposer	proposer	VINF	_
;	;	PONCT	_
autrement	autrement	ADV	_
on	on	CLS	_
saisit	saisir	V	_
çà	çà	ADV	_
et	et	CC	_
là	là	ADV	_
un	un	DET	_
petit	petit	ADJ	_
nombre	nombre	NC	_
de	de	P	_
vérités	vérité	NC	_
sans	sans	P	_
en	en	CLO	_
connaître	connaître	VINF	_
la	le	DET	_
liaison	liaison	NC	_
,	,	PONCT	_
et	et	CC	_
beaucoup	beaucoup	PRO	_
d'	de	P	_
erreurs	erreur	NC	_
sans	sans	P	_
en	en	CLO	_
pouvoir	pouvoir	VINF	_
découvrir	découvrir	VINF	_
la	le	DET	_
fausseté	fausseté	NC	_
.	.	PONCT	_
On	on	CLS	_
a	avoir	V	_
long-temps	long-temps	ADV	_
confondu	confondre	VPP	_
la	le	DET	_
politique	politique	NC	_
proprement	proprement	ADV	_
dite	dire	VPP	_
,	,	PONCT	_
la	le	DET	_
science	science	NC	_
de	de	P	_
l'	le	DET	_
organisation	organisation	NC	_
des	de_le	P+D	_
sociétés	société	NC	_
,	,	PONCT	_
avec	avec	P	_
l'	le	DET	_
économie	économie	NC	_
politique	politique	ADJ	_
,	,	PONCT	_
qui	qui	PROREL	_
enseigne	enseigner	V	_
comment	comment	PROWH	_
se	se	CLO	_
forment	former	V	_
