1	1	X	_
DE	de	P	_
LA	le	DET	_
FABLE	fable	NC	_
Il	il	CLS	_
y	y	CLO	_
a	avoir	V	_
quelque	quelque	DET	_
temps	temps	NC	_
qu'	que	PROREL	_
un	un	PRO	_
de	de	P	_
mes	mon	DET	_
amis	ami	NC	_
,	,	PONCT	_
me	je	CLO	_
voyant	voir	VPR	_
occupé	occuper	VPP	_
de	de	P	_
faire	faire	VINF	_
des	un	DET	_
fables	fable	NC	_
,	,	PONCT	_
me	je	CLO	_
proposa	proposer	V	_
de	de	P	_
me	je	CLO	_
présenter	présenter	VINF	_
à	à	P	_
un	un	PRO	_
de	de	P	_
ses	son	DET	_
oncles	oncle	NC	_
,	,	PONCT	_
vieillard	vieillard	NC	_
aimable	aimable	ADJ	_
et	et	CC	_
obligeant	obligeant	ADJ	_
,	,	PONCT	_
qui	qui	PROREL	_
toute	tout	ADJ	_
sa	son	DET	_
vie	vie	NC	_
avoit	avoir	V	_
aimé	aimer	VPP	_
de	de	P	_
prédilection	prédilection	NC	_
le	le	DET	_
genre	genre	NC	_
de	de	P	_
l'	le	DET	_
apologue	apologue	NC	_
,	,	PONCT	_
possédoit	posséder	V	_
dans	dans	P	_
sa	son	DET	_
bibliotheque	bibliothèque	NC	_
presque	presque	ADV	_
tous	tout	ADJ	_
les	le	DET	_
fabulistes	fabuliste	NC	_
,	,	PONCT	_
et	et	CC	_
relisoit	relire	V	_
sans	sans	P	_
cesse	cesse	NC	_
*	*	PONCT	_
La	le	DET	_
Fontaine	Fontaine	NP	_
.	.	PONCT	_
J'	je	CLS	_
acceptai	accepter	V	_
avec	avec	P	_
joie	joie	NC	_
l'	le	DET	_
offre	offre	NC	_
de	de	P	_
mon	mon	DET	_
ami	ami	NC	_
:	:	PONCT	_
nous	nous	CLS	_
allâmes	aller	V	_
ensemble	ensemble	ADV	_
chez	chez	P	_
son	son	DET	_
oncle	oncle	NC	_
.	.	PONCT	_
Je	je	CLS	_
vis	vivre	V	_
un	un	DET	_
petit	petit	ADJ	_
vieillard	vieillard	NC	_
de	de	P	_
quatre-vingts	quatre-vingts	DET	_
ans	an	NC	_
à-peu-près	à-peu-près	NC	_
,	,	PONCT	_
mais	mais	CC	_
qui	qui	PROREL	_
se	se	CLO	_
tenoit	tenir	V	_
encore	encore	ADV	_
droit	droit	ADV	_
.	.	PONCT	_
Sa	son	DET	_
physionomie	physionomie	NC	_
étoit	être	V	_
douce	doux	ADJ	_
et	et	CC	_
gaie	gai	ADJ	_
,	,	PONCT	_
ses	son	DET	_
