PRÉFACE	préface	NC	_
Trois	trois	DET	_
espèces	espèce	NC	_
de	de	P	_
spectateurs	spectateur	NC	_
composent	composer	V	_
ce	ce	PRO	_
qu'	que	PROREL	_
on	on	CLS	_
est	être	V	_
convenu	convenir	VPP	_
d'	de	P	_
appeler	appeler	VINF	_
le	le	DET	_
public	public	NC	_
:	:	PONCT	_
premièrement	premièrement	ADV	_
,	,	PONCT	_
les	le	DET	_
femmes	femme	NC	_
;	;	PONCT	_
deuxièmement	deuxièmement	ADV	_
,	,	PONCT	_
les	le	DET	_
penseurs	penseur	NC	_
;	;	PONCT	_
troisièmement	troisièmement	ADV	_
,	,	PONCT	_
la	le	DET	_
foule	foule	NC	_
proprement	proprement	ADV	_
dite	dire	VPP	_
.	.	PONCT	_
Ce	ce	PRO	_
que	que	PROREL	_
la	le	DET	_
foule	foule	NC	_
demande	demander	V	_
presque	presque	ADV	_
exclusivement	exclusivement	ADV	_
à	à	P	_
l'	le	DET	_
oeuvre	œuvre	NC	_
dramatique	dramatique	ADJ	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
de	de	X	_
l'	le	DET	_
action	action	NC	_
;	;	PONCT	_
ce	ce	PRO	_
que	que	PROREL	_
les	le	DET	_
femmes	femme	NC	_
y	y	CLO	_
veulent	vouloir	V	_
avant	avant	P	_
tout	tout	PRO	_
,	,	PONCT	_
c'	ce	CLS	_
est	être	V	_
de	de	X	_
la	le	DET	_
passion	passion	NC	_
;	;	PONCT	_
ce	ce	PRO	_
qu'	que	PROREL	_
y	y	CLO	_
cherchent	chercher	V	_
plus	plus	ADV	_
spécialement	spécialement	ADV	_
les	le	DET	_
penseurs	penseur	NC	_
,	,	PONCT	_
ce	ce	CLS	_
sont	être	V	_
des	un	DET	_
caractères	caractère	NC	_
.	.	PONCT	_
Si	si	CS	_
l'on	on	CLS	_
étudie	étudier	V	_
attentivement	attentivement	ADV	_
ces	ce	DET	_
trois	trois	ADJ	_
classes	classe	NC	_
de	de	P	_
spectateurs	spectateur	NC	_
,	,	PONCT	_
voici	voici	V	_
ce	ce	PRO	_
qu'	que	PROREL	_
on	on	CLS	_
remarque	remarquer	V	_
:	:	PONCT	_
la	le	DET	_
foule	foule	NC	_
est	être	V	_
tellement	tellement	ADV	_
amoureuse	amoureux	ADJ	_
de	de	P	_
l'	le	DET	_
action	action	NC	_
,	,	PONCT	_
qu'	que	CS	_
au	à_le	P+D	_
besoin	besoin	NC	_
elle	il	CLS	_
fait	faire	V	_
bon	bon	ADJ	_
marché	marché	NC	_
des	de_le	P+D	_
caractères	caractère	NC	_
et	et	CC	_
des	un	DET	_
passions	passion	NC	_
.	.	PONCT	_
Les	le	DET	_
femmes	femme	NC	_
,	,	PONCT	_
que	que	CS	_
l'	le	DET	_
action	action	NC	_
intéresse	intéresser	V	_
d'	de	P	_
ailleurs	ailleurs	NC	_
,	,	PONCT	_
sont	être	V	_
si	si	ADV	_
absorbées	absorber	VPP	_
par	par	P	_
les	le	DET	_
développements	développement	NC	_
de	de	P	_
la	le	DET	_
passion	passion	NC	_
,	,	PONCT	_
qu'	que	PROREL	_
elles	il	CLS	_
se	se	CLO	_
préoccupent	préoccuper	V	_
peu	peu	ADV	_
du	de_le	P+D	_
dessin	dessin	NC	_
des	de_le	P+D	_
caractères	caractère	NC	_
;	;	PONCT	_
quant_aux	quant_à_le	P+D	_
penseurs	penseur	NC	_
,	,	PONCT	_
ils	il	CLS	_
ont	avoir	V	_
un	un	DET	_
tel	tel	ADJ	_
goût	goût	NC	_
de	de	P	_
voir	voir	VINF	_
des	un	DET	_
caractères	caractère	NC	_
,	,	PONCT	_
c'est-à-dire	c'est-à-dire	CC	_
des	un	DET	_
hommes	homme	NC	_
,	,	PONCT	_
vivre	vivre	VINF	_
sur	sur	P	_
la	le	DET	_
scène	scène	NC	_
,	,	PONCT	_
que	que	CS	_
,	,	PONCT	_
tout	tout	ADV	_
en	en	P	_
accueillant	accueillir	VPR	_
volontiers	volontiers	ADV	_
la	le	DET	_
passion	passion	NC	_
comme	comme	P	_
incident	incident	NC	_
