Sur	sur	P	_
la	le	DET	_
construction	construction	NC	_
des	de_le	P+D	_
bâtiments	bâtiment	NC	_
.	.	PONCT	_
Maçonnerie	maçonnerie	NC	_
.	.	PONCT	_
Dans	dans	P	_
les	le	DET	_
temps	temps	NC	_
antiques	antique	ADJ	_
,	,	PONCT	_
comme	comme	P	_
pendant	pendant	P	_
le	le	DET	_
moyen	moyen	ADJ	_
âge	âge	NC	_
,	,	PONCT	_
aucune	aucun	DET	_
oeuvre	œuvre	NC	_
due	devoir	VPP	_
à	à	P	_
l'	le	DET	_
intelligence	intelligence	NC	_
humaine	humain	ADJ	_
n'	ne	ADV	_
a	avoir	V	_
mieux	mieux	ADV	_
marqué	marquer	VPP	_
peut-être	peut-être	ADV	_
l'	le	DET	_
état	état	NC	_
social	social	ADJ	_
d'	de	P	_
un	un	DET	_
peuple	peuple	NC	_
et	et	CC	_
démontré	démontrer	VPP	_
ses	son	DET	_
aptitudes	aptitude	NC	_
,	,	PONCT	_
que	que	CS	_
la	le	DET	_
manière	manière	NC	_
de	de	P	_
bâtir	bâtir	VINF	_
.	.	PONCT	_
Il	il	CLS	_
a	avoir	V	_
fallu	falloir	VPP	_
la	le	DET	_
confusion	confusion	NC	_
des	de_le	P+D	_
temps	temps	NC	_
modernes	moderne	ADJ	_
,	,	PONCT	_
une	un	DET	_
longue	long	ADJ	_
suite	suite	NC	_
de	de	P	_
fausses	faux	ADJ	_
doctrines	doctrine	NC	_
,	,	PONCT	_
pour	pour	P	_
nous	nous	CLO	_
amener	amener	VINF	_
à	à	P	_
l'	le	DET	_
état	état	NC	_
d'	de	P	_
anarchie	anarchie	NC	_
,	,	PONCT	_
de	de	P	_
contradictions	contradiction	NC	_
que	que	PROREL	_
nous	nous	CLS	_
observons	observer	V	_
aujourd'hui	aujourd'hui	ADV	_
dans	dans	P	_
nos	notre	DET	_
constructions	construction	NC	_
.	.	PONCT	_
Encore	encore	ADV	_
est	être	V	_
-il	il	CLS	_
certain	certain	ADJ	_
que	que	CS	_
de	de	P	_
cet	ce	DET	_
état	état	NC	_
transitoire	transitoire	ADJ	_
il	il	CLS	_
sortira	sortir	V	_
des	un	DET	_
méthodes	méthode	NC	_
qui	qui	PROREL	_
appartiendront	appartenir	V	_
à	à	P	_
notre	notre	DET	_
siècle	siècle	NC	_
et	et	CC	_
à	à	P	_
notre	notre	DET	_
état	état	NC	_
social	social	ADJ	_
.	.	PONCT	_
C'	ce	CLS	_
est	être	V	_
à	à	P	_
faire	faire	VINF	_
cesser	cesser	VINF	_
ce	ce	DET	_
chaos	chaos	NC	_
que	que	PROREL	_
doivent	devoir	V	_
tendre	tendre	VINF	_
les	le	DET	_
gens	gens	NC	_
de	de	P	_
bonne	bon	ADJ	_
foi	foi	NC	_
et	et	CC	_
qui	qui	PROREL	_
n'	ne	ADV	_
ont	avoir	V	_
pas	pas	ADV	_
de	un	DET	_
parti	parti	NC	_
pris	prendre	VPP	_
.	.	PONCT	_
Si	si	CS	_
nous	nous	CLS	_
voulons	vouloir	V	_
considérer	considérer	VINF	_
les	le	DET	_
oeuvres	œuvre	NC	_
du	de_le	P+D	_
passé	passé	NC	_
comme	comme	P	_
appartenant	appartenir	VPR	_
au	à_le	P+D	_
passé	passé	NC	_
,	,	PONCT	_
comme	comme	P	_
des	un	DET	_
échelons	échelon	NC	_
qu'	que	PROREL	_
il	il	CLS	_
faut	falloir	V	_
signaler	signaler	VINF	_
et	et	CC	_
gravir	gravir	VINF	_
pour	pour	P	_
arriver	arriver	VINF	_
à	à	P	_
la	le	DET	_
connaissance	connaissance	NC	_
de	de	P	_
ce	ce	PRO	_
qui	qui	PROREL	_
convient	convenir	V	_
à	à	P	_
notre	notre	DET	_
état	état	NC	_
social	social	ADJ	_
;	;	PONCT	_
si	si	CS	_
nous	nous	CLS	_
procédons	procéder	V	_
par	par	P	_
l'	le	DET	_
analyse	analyse	NC	_
et	et	CC	_
non	non	ADV	_
par	par	P	_
imitation	imitation	NC	_
irréfléchie	irréfléchi	ADJ	_
;	;	PONCT	_
si	si	CS	_
nous	nous	CLS	_
cherchons	chercher	V	_
à	à	P	_
travers	travers	NC	_
tant	tant	ADV	_
de	de	P	_
débris	débris	NC	_
des	de_le	P+D	_
temps	temps	NC	_
éloignés	éloigner	VPP	_
de	de	P	_
nous	nous	PRO	_
les	le	DET	_
procédés	procédé	NC	_
applicables	applicable	ADJ	_
,	,	PONCT	_
et	et	CC	_
si	si	CS	_
nous	nous	CLS	_
savons	savoir	V	_
dire	dire	VINF	_
en	en	P	_
quoi	quoi	PROWH	_
ils	il	CLS	_
sont	être	V	_
applicables	applicable	ADJ	_
;	;	PONCT	_
si	si	CS	_
,	,	PONCT	_
laissant	laisser	VPR	_
de	de	P	_
côté	côté	NC	_
un	un	DET	_
enseignement	enseignement	NC	_
suranné	suranner	VPP	_
,	,	PONCT	_
nous	nous	CLS	_
nous	nous	CLO	_
appuyons	appuyer	V	_
chacun	chacun	PRO	_
sur	sur	P	_
nos	notre	DET	_
propres	propre	ADJ	_
observations	observation	NC	_
,	,	PONCT	_
nous	nous	CLS	_
aurons	avoir	V	_
ouvert	ouvrir	VPP	_
la	le	DET	_
voie	voie	NC	_
et	et	CC	_
nous	nous	PRO	_
-mêmes	même	ADJ	_
pourrons	pouvoir	V	_
la	il	CLO	_
parcourir	parcourir	VINF	_
.	.	PONCT	_
Soumis	soumettre	VPP	_
à	à	P	_
la	le	DET	_
domination	domination	NC	_
romaine	romain	ADJ	_
et	et	CC	_
devenus	devenir	VPP	_
presque	presque	ADV	_
romains	romain	ADJ	_
,	,	PONCT	_
au	à_le	P+D	_
moins	moins	NC	_
sur	sur	P	_
une	un	DET	_
partie	partie	NC	_
notable	notable	ADJ	_
du	de_le	P+D	_
territoire	territoire	NC	_
de	de	P	_
la	le	DET	_
France	France	NP	_
actuelle	actuel	ADJ	_
,	,	PONCT	_
nous	nous	CLS	_
avons	avoir	V	_
adopté	adopter	VPP	_
les	le	DET	_
méthodes	méthode	NC	_
de	de	P	_
bâtir	bâtir	VINF	_
des	un	DET	_
romains	romain	NC	_
.	.	PONCT	_
Rendus	rendre	VPP	_
à	à	P	_
nous	nous	PRO	_
-mêmes	même	ADJ	_
et	et	CC	_
envahis	envahir	VPP	_
par	par	P	_
des	un	DET	_
populations	population	NC	_
douées	douer	VPP	_
d'	de	P	_
un	un	DET	_
tout	tout	ADV	_
autre	autre	ADJ	_
génie	génie	NC	_
que	que	CS	_
celui	celui	PRO	_
des	de_le	P+D	_
romains	romain	NC	_
,	,	PONCT	_
nous	nous	CLS	_
avons	avoir	V	_
,	,	PONCT	_
pendant	pendant	P	_
plusieurs	plusieurs	DET	_
siècles	siècle	NC	_
,	,	PONCT	_
flotté	flotter	VPP	_
indécis	indécis	ADJ	_
entre	entre	P	_
des	un	DET	_
méthodes	méthode	NC	_
de	de	P	_
bâtir	bâtir	VINF	_
très	très	ADV	_
-	-	PONCT	_
différentes	différent	ADJ	_
.	.	PONCT	_
à	à	P	_
la	le	DET	_
fin	fin	NC	_
du	de_le	P+D	_
xie	xie	ADJ	_
siècle	siècle	NC	_
et	et	CC	_
au	à_le	P+D	_
commencement	commencement	NC	_
du	de_le	P+D	_
XIIe	XIIe	NC	_
,	,	PONCT	_
nous	nous	CLS	_
allons	aller	V	_
chercher	chercher	VINF	_
des	un	DET	_
modèles	modèle	NC	_
en	en	P	_
orient	orient	NC	_
,	,	PONCT	_
et	et	CC	_
nous	nous	CLS	_
parvenons	parvenir	V	_
à	à	P	_
faire	faire	VINF	_
une	un	DET	_
sorte	sorte	NC	_
de	de	P	_
renaissance	renaissance	ADJ	_
romano	romano	NC	_
-	-	PONCT	_
grecque	grec	ADJ	_
,	,	PONCT	_
qui	qui	PROREL	_
n'	ne	ADV	_
est	être	V	_
pas	pas	ADV	_
sans	sans	P	_
valeur	valeur	NC	_
,	,	PONCT	_
mais	mais	CC	_
qui	qui	PROREL	_
,	,	PONCT	_
comme	comme	P	_
toute	tout	DET	_
